county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
Atascosa,Pct. 01,Ballots Cast,,,,613,8,480,125,0
Atascosa,Pct. 01,Ballots Cast Blank,,,,0,0,0,0,0
Atascosa,Pct. 01,President,,REP,Donald J. Trump,475,5,372,98,0
Atascosa,Pct. 01,President,,DEM,Kamala D. Harris,135,3,107,25,0
Atascosa,Pct. 01,President,,LIB,Chase Oliver,3,0,1,2,0
Atascosa,Pct. 01,President,,GRN,Jill Stein,0,0,0,0,0
Atascosa,Pct. 01,President,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 01,U.S. Senate,,REP,Ted Cruz,434,5,343,86,0
Atascosa,Pct. 01,U.S. Senate,,DEM,Colin Allred,154,3,123,28,0
Atascosa,Pct. 01,U.S. Senate,,LIB,Ted Brown,17,0,9,8,0
Atascosa,Pct. 01,U.S. Senate,,,Write-ins,1,0,1,0,0
Atascosa,Pct. 01,U.S. House,28,REP,Jay Furman,433,5,340,88,0
Atascosa,Pct. 01,U.S. House,28,DEM,Henry Cuellar,165,3,129,33,0
Atascosa,Pct. 01,Railroad Commissioner,,REP,Christi Craddick,437,5,340,92,0
Atascosa,Pct. 01,Railroad Commissioner,,DEM,Katherine Culbert,131,3,106,22,0
Atascosa,Pct. 01,Railroad Commissioner,,LIB,Hawk Dunlap,12,0,7,5,0
Atascosa,Pct. 01,Railroad Commissioner,,GRN,Eddie Espinoza,11,0,10,1,0
Atascosa,Pct. 01,Railroad Commissioner,,,Write-ins,1,0,1,0,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 2,REP,Jimmy Blacklock,457,5,358,94,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 2,DEM,DaSean Jones,128,3,102,23,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 4,REP,John Devine,449,5,351,93,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 4,DEM,Christine Vinh Weems,139,3,110,26,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 6,REP,Jane Bland,441,5,350,86,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 6,DEM,Bonnie Lee Goldstein,130,3,103,24,0
Atascosa,Pct. 01,"Justice, Supreme Court",PI 6,LIB,J. David Roberson,18,0,10,8,0
Atascosa,Pct. 01,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,452,5,358,89,0
Atascosa,Pct. 01,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,133,3,103,27,0
Atascosa,Pct. 01,"Judge, Ct of Crim App",PI 7,REP,Gina Parker,451,5,354,92,0
Atascosa,Pct. 01,"Judge, Ct of Crim App",PI 7,DEM,Nancy Mulder,134,3,106,25,0
Atascosa,Pct. 01,"Judge, Ct of Crim App",PI 8,REP,Lee Finley,454,5,358,91,0
Atascosa,Pct. 01,"Judge, Ct of Crim App",PI 8,DEM,Chika Anyiam,128,3,100,25,0
Atascosa,Pct. 01,"Member, State BoE",Dist 1,REP,Michael (Travis) Stevens,454,5,359,90,0
Atascosa,Pct. 01,"Member, State BoE",Dist 1,DEM,Gustavo Reveles,131,3,102,26,0
Atascosa,Pct. 01,State Representative,80,REP,Don McLaughlin Jr.,446,5,349,92,0
Atascosa,Pct. 01,State Representative,80,DEM,Cecilia Castellano,144,3,117,24,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 2,DEM,Velia J. Meza,286,3,226,57,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 3,REP,Todd McCray,438,5,345,88,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 3,DEM,Cynthia Marie Chapa,148,3,117,28,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 4,REP,Lori Massey Brissette,441,5,351,85,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 4,DEM,Luz Elena Chapa,143,3,111,29,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 5,REP,Adrian Spears,437,5,348,84,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 5,DEM,Liza A. Rodriguez,151,3,115,33,0
Atascosa,Pct. 01,"Justice, 4th Ct of App Dist",PI 7,REP,Lori I. Valenzuela,510,5,401,104,0
Atascosa,Pct. 01,"Dist Attorney, 81st Judicial Dist",,REP,Audrey Gossett Louis,501,5,396,100,0
Atascosa,Pct. 01,County Attorney,,REP,Molly Groesbeck Solis,521,6,409,106,0
Atascosa,Pct. 01,Sheriff,,REP,Jake Guerra,497,6,388,103,0
Atascosa,Pct. 01,County Tax Assessor-Collector,,REP,Loretta Holley,525,6,415,104,0
Atascosa,Pct. 01,Constable,Pct 4,REP,"John ""Andy"" Rutherford",491,5,384,102,0
Atascosa,Pct. 03,Ballots Cast,,,,866,25,616,225,0
Atascosa,Pct. 03,Ballots Cast Blank,,,,0,0,0,0,0
Atascosa,Pct. 03,President,,REP,Donald J. Trump,609,7,444,158,0
Atascosa,Pct. 03,President,,DEM,Kamala D. Harris,249,18,170,61,0
Atascosa,Pct. 03,President,,LIB,Chase Oliver,2,0,0,2,0
Atascosa,Pct. 03,President,,GRN,Jill Stein,5,0,1,4,0
Atascosa,Pct. 03,President,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 03,U.S. Senate,,REP,Ted Cruz,540,6,406,128,0
Atascosa,Pct. 03,U.S. Senate,,DEM,Colin Allred,285,19,184,82,0
Atascosa,Pct. 03,U.S. Senate,,LIB,Ted Brown,28,0,16,12,0
Atascosa,Pct. 03,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,Pct. 03,U.S. House,28,REP,Jay Furman,541,7,396,138,0
Atascosa,Pct. 03,U.S. House,28,DEM,Henry Cuellar,302,18,203,81,0
Atascosa,Pct. 03,Railroad Commissioner,,REP,Christi Craddick,555,7,416,132,0
Atascosa,Pct. 03,Railroad Commissioner,,DEM,Katherine Culbert,208,14,137,57,0
Atascosa,Pct. 03,Railroad Commissioner,,LIB,Hawk Dunlap,28,0,15,13,0
