county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Burnet,Precinct 1,Ballots Cast,,,,,,,1396
Burnet,Precinct 2,Ballots Cast,,,,,,,2401
Burnet,Precinct 3,Ballots Cast,,,,,,,926
Burnet,Precinct 4,Ballots Cast,,,,,,,2320
Burnet,Precinct 5,Ballots Cast,,,,,,,917
Burnet,Precinct 6,Ballots Cast,,,,,,,20
Burnet,Precinct 6 - MFISD,Ballots Cast,,,,,,,518
Burnet,Precinct 7,Ballots Cast,,,,,,,547
Burnet,Precinct 8,Ballots Cast,,,,,,,1138
Burnet,Precinct 9,Ballots Cast,,,,,,,176
Burnet,Precinct 9 - MFISD,Ballots Cast,,,,,,,2114
Burnet,Precinct 10,Ballots Cast,,,,,,,1500
Burnet,Precinct 11,Ballots Cast,,,,,,,582
Burnet,Precinct 12,Ballots Cast,,,,,,,1718
Burnet,Precinct 13,Ballots Cast,,,,,,,1034
Burnet,Precinct 14,Ballots Cast,,,,,,,548
Burnet,Precinct 15,Ballots Cast,,,,,,,827
Burnet,Precinct 16,Ballots Cast,,,,,,,537
Burnet,Precinct 17,Ballots Cast,,,,,,,1985
Burnet,Precinct 18,Ballots Cast,,,,,,,965
Burnet,Precinct 19,Ballots Cast,,,,,,,3446
Burnet,Precinct 20,Ballots Cast,,,,,,,20
Burnet,Precinct 20 - MFISD,Ballots Cast,,,,,,,2768
Burnet,Precinct 1,COUNTY ATTORNEY,,,Eddie Arredondo,37,888,113,1038
Burnet,Precinct 1,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 1,COUNTY ATTORNEY,,,Under Votes,170,155,33,358
Burnet,Precinct 2,COUNTY ATTORNEY,,,Eddie Arredondo,137,1568,248,1953
Burnet,Precinct 2,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 2,COUNTY ATTORNEY,,,Under Votes,58,336,54,448
Burnet,Precinct 3,COUNTY ATTORNEY,,,Eddie Arredondo,21,530,177,728
Burnet,Precinct 3,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 3,COUNTY ATTORNEY,,,Under Votes,14,131,53,198
Burnet,Precinct 4,COUNTY ATTORNEY,,,Eddie Arredondo,59,1410,348,1817
Burnet,Precinct 4,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 4,COUNTY ATTORNEY,,,Under Votes,59,358,86,503
Burnet,Precinct 5,COUNTY ATTORNEY,,,Eddie Arredondo,42,533,139,714
Burnet,Precinct 5,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 5,COUNTY ATTORNEY,,,Under Votes,26,126,51,203
Burnet,Precinct 6,COUNTY ATTORNEY,,,Eddie Arredondo,1,14,0,15
Burnet,Precinct 6,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 6,COUNTY ATTORNEY,,,Under Votes,0,4,1,5
Burnet,Precinct 6 - MFISD,COUNTY ATTORNEY,,,Eddie Arredondo,12,286,125,423
Burnet,Precinct 6 - MFISD,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 6 - MFISD,COUNTY ATTORNEY,,,Under Votes,8,64,23,95
Burnet,Precinct 7,COUNTY ATTORNEY,,,Eddie Arredondo,28,318,102,448
Burnet,Precinct 7,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 7,COUNTY ATTORNEY,,,Under Votes,9,66,24,99
Burnet,Precinct 8,COUNTY ATTORNEY,,,Eddie Arredondo,41,749,181,971
Burnet,Precinct 8,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
