county,precinct,office,district,party,candidate,votes,absentee,early,election
Lubbock,1,Ballots Cast,,,,1628,,,
Lubbock,2,Ballots Cast,,,,1140,,,
Lubbock,3,Ballots Cast,,,,1085,,,
Lubbock,4,Ballots Cast,,,,417,,,
Lubbock,5,Ballots Cast,,,,465,,,
Lubbock,6,Ballots Cast,,,,506,,,
Lubbock,7,Ballots Cast,,,,1990,,,
Lubbock,8,Ballots Cast,,,,1759,,,
Lubbock,9,Ballots Cast,,,,1784,,,
Lubbock,10,Ballots Cast,,,,439,,,
Lubbock,11,Ballots Cast,,,,113,,,
Lubbock,12,Ballots Cast,,,,1392,,,
Lubbock,13,Ballots Cast,,,,424,,,
Lubbock,14,Ballots Cast,,,,842,,,
Lubbock,15,Ballots Cast,,,,1827,,,
Lubbock,17,Ballots Cast,,,,1425,,,
Lubbock,19,Ballots Cast,,,,365,,,
Lubbock,20,Ballots Cast,,,,454,,,
Lubbock,21,Ballots Cast,,,,1075,,,
Lubbock,22,Ballots Cast,,,,1684,,,
Lubbock,23,Ballots Cast,,,,887,,,
Lubbock,24,Ballots Cast,,,,986,,,
Lubbock,25,Ballots Cast,,,,469,,,
Lubbock,26,Ballots Cast,,,,1057,,,
Lubbock,27,Ballots Cast,,,,1592,,,
Lubbock,28,Ballots Cast,,,,1303,,,
Lubbock,29,Ballots Cast,,,,1355,,,
Lubbock,30,Ballots Cast,,,,1439,,,
Lubbock,31,Ballots Cast,,,,1127,,,
Lubbock,32,Ballots Cast,,,,2160,,,
Lubbock,33,Ballots Cast,,,,2835,,,
Lubbock,34,Ballots Cast,,,,374,,,
Lubbock,35,Ballots Cast,,,,630,,,
Lubbock,36,Ballots Cast,,,,1341,,,
Lubbock,37,Ballots Cast,,,,1065,,,
Lubbock,38,Ballots Cast,,,,789,,,
Lubbock,39,Ballots Cast,,,,1370,,,
Lubbock,40,Ballots Cast,,,,382,,,
Lubbock,41,Ballots Cast,,,,1829,,,
Lubbock,43,Ballots Cast,,,,463,,,
Lubbock,44,Ballots Cast,,,,835,,,
