county,precinct,office,district,candidate,party,votes,election_day,early_voting,absentee
Guadalupe,102 SEG6 SISD,Registered Voters,,,,2042,,,
Guadalupe,102 SEG6 SISD,Ballots Cast,,,,1420,257,1114,49
Guadalupe,102 SEG6 SISD,PRESIDENT,,Donald J. Trump,Rep,976,179,770,27
Guadalupe,102 SEG6 SISD,PRESIDENT,,Kamala D. Harris,Dem,418,72,326,20
Guadalupe,102 SEG6 SISD,PRESIDENT,,Chase Oliver,Lib,15,5,10,0
Guadalupe,102 SEG6 SISD,PRESIDENT,,Jill Stein,Gre,2,1,1,0
Guadalupe,102 SEG6 SISD,PRESIDENT,,Write-ins,,5,0,3,2
Guadalupe,102 SEG6 SISD,PRESIDENT,,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,PRESIDENT,,Under Votes,,4,0,4,0
Guadalupe,102 SEG6 SISD,U.S. Senate,,Ted Cruz,Rep,911,156,728,27
Guadalupe,102 SEG6 SISD,U.S. Senate,,Collin Allred,Dem,435,79,336,20
Guadalupe,102 SEG6 SISD,U.S. Senate,,Ted Brown,Lib,43,15,28,0
Guadalupe,102 SEG6 SISD,U.S. Senate,,Write-ins,,2,0,0,2
Guadalupe,102 SEG6 SISD,U.S. Senate,,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,U.S. Senate,,Under Votes,,29,7,22,0
Guadalupe,102 SEG6 SISD,U.S. House,15,Monica De La Cruz,Rep,965,175,760,30
Guadalupe,102 SEG6 SISD,U.S. House,15,Michelle Vallejo,Dem,392,71,303,18
Guadalupe,102 SEG6 SISD,U.S. House,15,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,U.S. House,15,Under Votes,,63,11,51,1
Guadalupe,102 SEG6 SISD,RAILROAD COMMISSIONER,,Christi Craddick,Rep,918,160,732,26
Guadalupe,102 SEG6 SISD,RAILROAD COMMISSIONER,,Katherine Culbert,Dem,345,53,271,21
Guadalupe,102 SEG6 SISD,RAILROAD COMMISSIONER,,Hawk Dunlap,Lib,63,19,42,2
Guadalupe,102 SEG6 SISD,RAILROAD COMMISSIONER,,Eddie Espinoza,Gre,26,8,18,0
Guadalupe,102 SEG6 SISD,RAILROAD COMMISSIONER,,Write-ins,,1,0,1,0
Guadalupe,102 SEG6 SISD,RAILROAD COMMISSIONER,,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,RAILROAD COMMISSIONER,,Under Votes,,67,17,50,0
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 2",,Jimmy Blacklock,Rep,963,170,764,29
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 2",,DeSean Jones,Dem,383,66,298,19
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 2",,Under Votes,,74,21,52,1
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 4",,John Devine,Rep,950,170,753,27
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 4",,Christine Vinh Weems,Dem,386,64,301,21
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 4",,Under Votes,,84,23,60,1
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 6",,Jane Bland,Rep,917,156,732,29
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 6",,Bonnie Lee Goldstein,Dem,371,63,290,18
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 6",,J. David Roberson,Lib,58,18,39,1
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 6",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"JUSTICE, SUPREME COURT, PLACE 6",,Under Votes,,74,20,53,1
Guadalupe,102 SEG6 SISD,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,David J. Schenck,Rep,963,175,761,27
Guadalupe,102 SEG6 SISD,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Holly Taylor,Dem,385,61,303,21
Guadalupe,102 SEG6 SISD,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Under Votes,,72,21,50,1
Guadalupe,102 SEG6 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Gina Parker,Rep,954,165,761,28
Guadalupe,102 SEG6 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Nancy Mulder,Dem,396,72,304,20
Guadalupe,102 SEG6 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Under Votes,,70,20,49,1
Guadalupe,102 SEG6 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Lee Finley,Rep,975,170,778,27
Guadalupe,102 SEG6 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Chika Anyiam,Dem,372,67,284,21
Guadalupe,102 SEG6 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Under Votes,,73,20,52,1
Guadalupe,102 SEG6 SISD,State House,44,Alan Schoolcraft,Rep,909,165,719,25
Guadalupe,102 SEG6 SISD,State House,44,Eric Norman,Dem,411,74,317,20
Guadalupe,102 SEG6 SISD,State House,44,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,State House,44,Under Votes,,100,18,78,4
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Todd McCray,Rep,929,168,733,28
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Cynthia Marie Chapa,Dem,393,69,304,20
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Under Votes,,98,20,77,1
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Lori Massey Brissette,Rep,935,166,741,28
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Luz Elena Chapa,Dem,385,70,295,20
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Under Votes,,100,21,78,1
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Adrian Spears,Rep,924,165,731,28
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Liza A. Rodriguez,Dem,395,71,304,20
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Under Votes,,101,21,79,1
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Lori I. Valenzuela,Rep,1078,201,842,35
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Under Votes,,342,56,272,14
Guadalupe,102 SEG6 SISD,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Bill Old,Rep,1063,198,828,37
Guadalupe,102 SEG6 SISD,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Under Votes,,357,59,286,12
Guadalupe,102 SEG6 SISD,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Jessica Richard Crawford,Rep,1072,199,836,37
Guadalupe,102 SEG6 SISD,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Under Votes,,348,58,278,12
Guadalupe,102 SEG6 SISD,COUNTY ATTORNEY,,David Willborn,Rep,1082,202,843,37
Guadalupe,102 SEG6 SISD,COUNTY ATTORNEY,,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,COUNTY ATTORNEY,,Under Votes,,338,55,271,12
Guadalupe,102 SEG6 SISD,SHERIFF,,Joshua Ray,Rep,1092,202,851,39
Guadalupe,102 SEG6 SISD,SHERIFF,,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,SHERIFF,,Under Votes,,328,55,263,10
Guadalupe,102 SEG6 SISD,COUNTY TAX ASSESSOR-COLLECTOR,,Daryl W. John,Rep,945,168,748,29
