county,precinct,office,district,party,candidate,votes,absentee,early,election,provisional
Gregg,02,U.S. SENATE,,REP,TED CRUZ,1740,150,1370,216,4
Gregg,03,U.S. SENATE,,REP,TED CRUZ,948,58,785,105,0
Gregg,04,U.S. SENATE,,REP,TED CRUZ,1982,87,1647,239,9
Gregg,05,U.S. SENATE,,REP,TED CRUZ,2137,63,1810,260,4
Gregg,06,U.S. SENATE,,REP,TED CRUZ,1541,49,1252,239,1
Gregg,07,U.S. SENATE,,REP,TED CRUZ,1755,45,1418,291,1
Gregg,08,U.S. SENATE,,REP,TED CRUZ,2209,70,1847,290,2
Gregg,09,U.S. SENATE,,REP,TED CRUZ,1927,91,1595,238,3
Gregg,10,U.S. SENATE,,REP,TED CRUZ,1525,55,1164,305,1
Gregg,11,U.S. SENATE,,REP,TED CRUZ,2072,81,1655,334,2
Gregg,12,U.S. SENATE,,REP,TED CRUZ,2881,62,2485,332,2
Gregg,13,U.S. SENATE,,REP,TED CRUZ,1485,42,1103,338,2
Gregg,14,U.S. SENATE,,REP,TED CRUZ,2763,59,2096,597,11
Gregg,15,U.S. SENATE,,REP,TED CRUZ,574,12,421,140,1
Gregg,16,U.S. SENATE,,REP,TED CRUZ,2245,50,1857,335,3
Gregg,17,U.S. SENATE,,REP,TED CRUZ,278,9,213,56,0
Gregg,18,U.S. SENATE,,REP,TED CRUZ,1153,39,969,142,3
Gregg,19,U.S. SENATE,,REP,TED CRUZ,281,19,161,99,2
Gregg,20,U.S. SENATE,,REP,TED CRUZ,404,19,279,105,1
Gregg,21,U.S. SENATE,,REP,TED CRUZ,1176,61,931,183,1
Gregg,01,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,02,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,03,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,04,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,05,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,06,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,07,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,08,U.S. SENATE,,,TRACY ANDRUS,1,0,0,1,0
Gregg,09,U.S. SENATE,,,TRACY ANDRUS,1,0,1,0,0
Gregg,10,U.S. SENATE,,,TRACY ANDRUS,2,0,1,1,0
Gregg,11,U.S. SENATE,,,TRACY ANDRUS,1,0,1,0,0
Gregg,12,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,13,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,14,U.S. SENATE,,,TRACY ANDRUS,1,0,0,1,0
Gregg,15,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,16,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,17,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,18,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,19,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,20,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
Gregg,21,U.S. SENATE,,,TRACY ANDRUS,0,0,0,0,0
