id,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
2,Precinct 1,Registered Voters,,,,591,,,
3,Precinct 1,Ballots Cast,,,,304,7,227,70
5,Precinct 1,President,,REP,Donald J. Trump/JD Vance,187,4,142,41
6,Precinct 1,President,,DEM,Kamala D. Harris/Tim Walz,112,2,81,29
7,Precinct 1,President,,LIB,Chase Oliver/Mike ter Maat,2,0,2,0
8,Precinct 1,President,,GRN,Jill Stein/Rudolph Ware,0,0,0,0
9,Precinct 1,President,,,Write-ins,0,0,0,0
10,Precinct 1,President,,,Over Votes,0,0,0,0
11,Precinct 1,President,,,Under Votes,3,1,2,0
13,Precinct 1,U.S. Senate,,REP,Ted Cruz,175,4,132,39
14,Precinct 1,U.S. Senate,,DEM,Colin Allred,112,3,84,25
15,Precinct 1,U.S. Senate,,LIB,Ted Brown,9,0,8,1
16,Precinct 1,U.S. Senate,,,Write-ins,0,0,0,0
17,Precinct 1,U.S. Senate,,,Over Votes,0,0,0,0
18,Precinct 1,U.S. Senate,,,Under Votes,8,0,3,5
20,Precinct 1,U.S. House,17,REP,Pete Sessions,188,4,146,38
21,Precinct 1,U.S. House,17,DEM,Mark Lorenzen,97,3,72,22
22,Precinct 1,U.S. House,17,,Over Votes,0,0,0,0
23,Precinct 1,U.S. House,17,,Under Votes,19,0,9,10
26,Precinct 1,Railroad Commissioner,,REP,Christi Craddick,180,4,141,35
27,Precinct 1,Railroad Commissioner,,DEM,Katherine Culbert,93,3,67,23
28,Precinct 1,Railroad Commissioner,,LIB,Hawk Dunlap,3,0,3,0
29,Precinct 1,Railroad Commissioner,,GRN,Eddie Espinoza,11,0,8,3
30,Precinct 1,Railroad Commissioner,,,Write-ins,0,0,0,0
31,Precinct 1,Railroad Commissioner,,,Over Votes,0,0,0,0
32,Precinct 1,Railroad Commissioner,,,Under Votes,17,0,8,9
34,Precinct 1,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,185,4,143,38
35,Precinct 1,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,103,3,75,25
36,Precinct 1,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
37,Precinct 1,"Justice, Supreme Court, Pl 2",,,Under Votes,16,0,9,7
39,Precinct 1,"Justice, Supreme Court, Pl 4",,REP,John Devine,182,4,144,34
40,Precinct 1,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,101,2,74,25
41,Precinct 1,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
42,Precinct 1,"Justice, Supreme Court, Pl 4",,,Under Votes,21,1,9,11
44,Precinct 1,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,183,4,140,39
45,Precinct 1,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,98,3,71,24
46,Precinct 1,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,8,0,7,1
47,Precinct 1,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
48,Precinct 1,"Justice, Supreme Court, Pl 6",,,Under Votes,15,0,9,6
51,Precinct 1,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,183,4,141,38
52,Precinct 1,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,103,2,75,26
53,Precinct 1,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
54,Precinct 1,"Presiding Judge, Ct of Crim App",,,Under Votes,18,1,11,6
56,Precinct 1,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,182,4,141,37
57,Precinct 1,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,105,3,76,26
58,Precinct 1,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
59,Precinct 1,"Judge, Ct of Crim App, Pl 7",,,Under Votes,17,0,10,7
61,Precinct 1,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,185,4,144,37
62,Precinct 1,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,98,2,70,26
63,Precinct 1,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
64,Precinct 1,"Judge, Ct of Crim App, Pl 8",,,Under Votes,21,1,13,7
66,Precinct 1,State Representative,9,REP,Trent Ashby,220,4,169,47
67,Precinct 1,State Representative,9,,Over Votes,0,0,0,0
68,Precinct 1,State Representative,9,,Under Votes,84,3,58,23
71,Precinct 1,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,212,4,166,42
72,Precinct 1,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
73,Precinct 1,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,92,3,61,28
75,Precinct 1,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,213,4,166,43
76,Precinct 1,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
77,Precinct 1,"Dist Attorney, 159th Judicial Dist",,,Under Votes,91,3,61,27
79,Precinct 1,County Attorney,,REP,James M. Yakovsky,213,4,169,40
80,Precinct 1,County Attorney,,,Over Votes,0,0,0,0
81,Precinct 1,County Attorney,,,Under Votes,91,3,58,30
83,Precinct 1,District Clerk - Unexpired Term,,REP,Meagan Moore,216,4,167,45
84,Precinct 1,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
85,Precinct 1,District Clerk - Unexpired Term,,,Under Votes,88,3,60,25
87,Precinct 1,Sheriff,,REP,Tom Selman,223,5,175,43
88,Precinct 1,Sheriff,,,Over Votes,0,0,0,0
89,Precinct 1,Sheriff,,,Under Votes,81,2,52,27
92,Precinct 1,County Tax Assessor-Collector,,REP,Billie Page,224,5,175,44
93,Precinct 1,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
94,Precinct 1,County Tax Assessor-Collector,,,Under Votes,80,2,52,26
96,Precinct 1,County Commissioner Pct 3,,REP,Tom Berry,227,4,175,48
97,Precinct 1,County Commissioner Pct 3,,,Over Votes,0,0,0,0
98,Precinct 1,County Commissioner Pct 3,,,Under Votes,77,3,52,22
100,Precinct 1,Constable Pct 1,,REP,Ray Berry,213,4,168,41
101,Precinct 1,Constable Pct 1,,,Over Votes,0,0,0,0
102,Precinct 1,Constable Pct 1,,,Under Votes,91,3,59,29
104,Precinct 2,Registered Voters,,,,2639,,,
105,Precinct 2,Ballots Cast,,,,1177,73,782,322
107,Precinct 2,President,,REP,Donald J. Trump/JD Vance,348,16,227,105
108,Precinct 2,President,,DEM,Kamala D. Harris/Tim Walz,817,56,546,215
109,Precinct 2,President,,LIB,Chase Oliver/Mike ter Maat,3,0,3,0
110,Precinct 2,President,,GRN,Jill Stein/Rudolph Ware,5,0,3,2
111,Precinct 2,President,,,Write-ins,1,0,1,0
112,Precinct 2,President,,,Over Votes,0,0,0,0
113,Precinct 2,President,,,Under Votes,3,1,2,0
115,Precinct 2,U.S. Senate,,REP,Ted Cruz,305,15,203,87
116,Precinct 2,U.S. Senate,,DEM,Colin Allred,808,55,538,215
117,Precinct 2,U.S. Senate,,LIB,Ted Brown,28,0,21,7
118,Precinct 2,U.S. Senate,,,Write-ins,2,0,2,0
119,Precinct 2,U.S. Senate,,,Over Votes,0,0,0,0
120,Precinct 2,U.S. Senate,,,Under Votes,34,3,18,13
122,Precinct 2,U.S. House,17,REP,Pete Sessions,330,14,225,91
123,Precinct 2,U.S. House,17,DEM,Mark Lorenzen,790,58,530,202
124,Precinct 2,U.S. House,17,,Over Votes,0,0,0,0
125,Precinct 2,U.S. House,17,,Under Votes,57,1,27,29
128,Precinct 2,Railroad Commissioner,,REP,Christi Craddick,300,14,198,88
129,Precinct 2,Railroad Commissioner,,DEM,Katherine Culbert,750,56,503,191
130,Precinct 2,Railroad Commissioner,,LIB,Hawk Dunlap,24,1,15,8
131,Precinct 2,Railroad Commissioner,,GRN,Eddie Espinoza,42,0,30,12
132,Precinct 2,Railroad Commissioner,,,Write-ins,1,0,1,0
133,Precinct 2,Railroad Commissioner,,,Over Votes,0,0,0,0
134,Precinct 2,Railroad Commissioner,,,Under Votes,60,2,35,23
136,Precinct 2,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,328,14,217,97
137,Precinct 2,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,779,57,524,198
138,Precinct 2,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
139,Precinct 2,"Justice, Supreme Court, Pl 2",,,Under Votes,70,2,41,27
141,Precinct 2,"Justice, Supreme Court, Pl 4",,REP,John Devine,315,13,212,90
142,Precinct 2,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,795,58,531,206
143,Precinct 2,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
144,Precinct 2,"Justice, Supreme Court, Pl 4",,,Under Votes,67,2,39,26
146,Precinct 2,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,305,13,202,90
147,Precinct 2,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,776,57,524,195
148,Precinct 2,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,24,1,15,8
149,Precinct 2,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
150,Precinct 2,"Justice, Supreme Court, Pl 6",,,Under Votes,72,2,41,29
