county,precinct,office,district,party,candidate,votes,absentee,early_voting,early_voting_provisional,election_day,election_day_provisional
Kaufman,11,Judge,7,REP,Gina Parker,857,18,723,0,116,0
Kaufman,12,Judge,7,REP,Gina Parker,1237,16,1027,0,194,0
Kaufman,13,Judge,7,REP,Gina Parker,1444,16,1140,2,286,0
Kaufman,14,Judge,7,REP,Gina Parker,1691,22,1258,0,411,0
Kaufman,15,Judge,7,REP,Gina Parker,1640,24,1344,6,266,0
Kaufman,16,Judge,7,REP,Gina Parker,2189,26,1603,0,560,0
Kaufman,17,Judge,7,REP,Gina Parker,1170,9,892,1,268,0
Kaufman,18,Judge,7,REP,Gina Parker,1413,18,1162,1,232,0
Kaufman,19,Judge,7,REP,Gina Parker,1101,30,835,2,234,0
Kaufman,20,Judge,7,REP,Gina Parker,783,13,623,0,146,1
Kaufman,21,Judge,7,REP,Gina Parker,1433,23,1088,1,321,0
Kaufman,22,Judge,7,REP,Gina Parker,751,16,602,0,133,0
Kaufman,23,Judge,7,REP,Gina Parker,874,7,709,0,158,0
Kaufman,24,Judge,7,REP,Gina Parker,663,18,536,0,109,0
Kaufman,25,Judge,7,REP,Gina Parker,382,5,314,0,63,0
Kaufman,26,Judge,7,REP,Gina Parker,299,6,202,0,91,0
Kaufman,27,Judge,7,REP,Gina Parker,1931,29,1607,0,295,0
Kaufman,28,Judge,7,REP,Gina Parker,1043,17,876,0,150,0
Kaufman,29,Judge,7,REP,Gina Parker,1189,19,823,0,346,1
Kaufman,30,Judge,7,REP,Gina Parker,1105,13,839,1,252,0
Kaufman,31,Judge,7,REP,Gina Parker,640,7,510,0,123,0
Kaufman,32,Judge,7,REP,Gina Parker,1112,24,919,0,169,0
Kaufman,33,Judge,7,REP,Gina Parker,114,1,86,0,27,0
Kaufman,34,Judge,7,REP,Gina Parker,2092,39,1641,0,412,0
Kaufman,35,Judge,7,REP,Gina Parker,1132,9,880,1,242,0
Kaufman,36,Judge,7,REP,Gina Parker,1416,20,1166,3,227,0
Kaufman,37,Judge,7,REP,Gina Parker,700,6,484,0,210,0
Kaufman,1,Judge,7,DEM,Nancy Mulder,529,30,379,0,120,0
Kaufman,2,Judge,7,DEM,Nancy Mulder,183,6,120,0,57,0
Kaufman,3,Judge,7,DEM,Nancy Mulder,1145,26,920,0,199,0
Kaufman,4,Judge,7,DEM,Nancy Mulder,309,13,253,0,43,0
Kaufman,5,Judge,7,DEM,Nancy Mulder,705,27,506,2,168,2
Kaufman,6,Judge,7,DEM,Nancy Mulder,286,13,194,0,79,0
Kaufman,7,Judge,7,DEM,Nancy Mulder,1925,28,1488,2,406,1
Kaufman,8,Judge,7,DEM,Nancy Mulder,461,5,363,2,91,0
Kaufman,9,Judge,7,DEM,Nancy Mulder,271,6,192,1,71,1
Kaufman,10,Judge,7,DEM,Nancy Mulder,226,4,166,0,56,0
Kaufman,11,Judge,7,DEM,Nancy Mulder,378,14,300,0,64,0
Kaufman,12,Judge,7,DEM,Nancy Mulder,196,7,140,0,49,0
Kaufman,13,Judge,7,DEM,Nancy Mulder,1374,30,1057,0,287,0
Kaufman,14,Judge,7,DEM,Nancy Mulder,2232,43,1724,3,462,0
Kaufman,15,Judge,7,DEM,Nancy Mulder,273,4,216,2,51,0
Kaufman,16,Judge,7,DEM,Nancy Mulder,338,11,226,0,101,0
Kaufman,17,Judge,7,DEM,Nancy Mulder,188,13,134,1,40,0
Kaufman,18,Judge,7,DEM,Nancy Mulder,395,9,317,0,69,0
Kaufman,19,Judge,7,DEM,Nancy Mulder,510,25,378,0,107,0
Kaufman,20,Judge,7,DEM,Nancy Mulder,202,6,136,0,60,0
Kaufman,21,Judge,7,DEM,Nancy Mulder,274,12,195,0,67,0
Kaufman,22,Judge,7,DEM,Nancy Mulder,125,4,106,0,15,0
Kaufman,23,Judge,7,DEM,Nancy Mulder,270,13,201,0,56,0
Kaufman,24,Judge,7,DEM,Nancy Mulder,247,13,199,0,35,0
Kaufman,25,Judge,7,DEM,Nancy Mulder,189,9,141,1,38,0
Kaufman,26,Judge,7,DEM,Nancy Mulder,551,20,354,0,177,0
Kaufman,27,Judge,7,DEM,Nancy Mulder,1067,16,900,0,151,0
Kaufman,28,Judge,7,DEM,Nancy Mulder,260,8,218,0,34,0
Kaufman,29,Judge,7,DEM,Nancy Mulder,2064,26,1456,1,581,0
Kaufman,30,Judge,7,DEM,Nancy Mulder,280,7,184,2,87,0
Kaufman,31,Judge,7,DEM,Nancy Mulder,467,2,367,0,98,0
Kaufman,32,Judge,7,DEM,Nancy Mulder,557,16,447,0,94,0
Kaufman,33,Judge,7,DEM,Nancy Mulder,117,3,83,0,31,0
Kaufman,34,Judge,7,DEM,Nancy Mulder,1520,29,1152,0,339,0
Kaufman,35,Judge,7,DEM,Nancy Mulder,1692,28,1230,2,432,0
Kaufman,36,Judge,7,DEM,Nancy Mulder,826,14,652,0,160,0
Kaufman,37,Judge,7,DEM,Nancy Mulder,929,11,637,0,281,0
Kaufman,1,Judge,8,DEM,Chika Anyiam,518,28,370,0,120,0
Kaufman,2,Judge,8,DEM,Chika Anyiam,169,7,114,0,48,0
Kaufman,3,Judge,8,DEM,Chika Anyiam,1129,27,905,0,197,0
Kaufman,4,Judge,8,DEM,Chika Anyiam,300,13,251,0,36,0
Kaufman,5,Judge,8,DEM,Chika Anyiam,694,25,495,2,170,2
Kaufman,6,Judge,8,DEM,Chika Anyiam,280,12,193,0,75,0
Kaufman,7,Judge,8,DEM,Chika Anyiam,1920,27,1477,2,413,1
Kaufman,8,Judge,8,DEM,Chika Anyiam,454,5,356,2,91,0
Kaufman,9,Judge,8,DEM,Chika Anyiam,257,4,185,1,67,0
Kaufman,10,Judge,8,DEM,Chika Anyiam,218,4,162,0,52,0
Kaufman,11,Judge,8,DEM,Chika Anyiam,371,13,296,1,61,0
Kaufman,12,Judge,8,DEM,Chika Anyiam,183,7,130,0,46,0
Kaufman,13,Judge,8,DEM,Chika Anyiam,1352,26,1049,0,277,0
Kaufman,14,Judge,8,DEM,Chika Anyiam,2231,44,1716,3,468,0
Kaufman,15,Judge,8,DEM,Chika Anyiam,260,3,205,1,51,0
Kaufman,16,Judge,8,DEM,Chika Anyiam,315,11,209,0,95,0
Kaufman,17,Judge,8,DEM,Chika Anyiam,175,12,123,1,39,0
Kaufman,18,Judge,8,DEM,Chika Anyiam,386,9,308,1,68,0
Kaufman,19,Judge,8,DEM,Chika Anyiam,499,24,371,0,104,0
Kaufman,20,Judge,8,DEM,Chika Anyiam,201,6,136,0,59,0
Kaufman,21,Judge,8,DEM,Chika Anyiam,273,13,198,0,62,0
Kaufman,22,Judge,8,DEM,Chika Anyiam,114,3,95,0,16,0
Kaufman,23,Judge,8,DEM,Chika Anyiam,261,11,195,0,55,0
Kaufman,24,Judge,8,DEM,Chika Anyiam,242,14,194,0,34,0
Kaufman,25,Judge,8,DEM,Chika Anyiam,190,9,140,1,40,0
Kaufman,26,Judge,8,DEM,Chika Anyiam,561,20,362,0,179,0
Kaufman,27,Judge,8,DEM,Chika Anyiam,1082,16,908,0,158,0
Kaufman,28,Judge,8,DEM,Chika Anyiam,257,8,218,0,31,0
Kaufman,29,Judge,8,DEM,Chika Anyiam,2072,25,1476,1,570,0
Kaufman,30,Judge,8,DEM,Chika Anyiam,268,6,177,2,83,0
Kaufman,31,Judge,8,DEM,Chika Anyiam,481,3,379,0,99,0
Kaufman,32,Judge,8,DEM,Chika Anyiam,559,16,455,0,88,0
Kaufman,33,Judge,8,DEM,Chika Anyiam,112,3,80,0,29,0
Kaufman,34,Judge,8,DEM,Chika Anyiam,1493,27,1141,0,325,0
Kaufman,35,Judge,8,DEM,Chika Anyiam,1685,28,1226,2,429,0
Kaufman,36,Judge,8,DEM,Chika Anyiam,821,13,643,0,165,0
Kaufman,37,Judge,8,DEM,Chika Anyiam,920,11,629,0,280,0
Kaufman,1,Judge,8,REP,Lee Finley,1280,19,971,1,289,0
Kaufman,2,Judge,8,REP,Lee Finley,871,19,664,0,188,0
Kaufman,3,Judge,8,REP,Lee Finley,1864,33,1560,2,269,0
Kaufman,4,Judge,8,REP,Lee Finley,1267,18,1094,1,154,0
Kaufman,5,Judge,8,REP,Lee Finley,370,16,285,2,67,0
Kaufman,6,Judge,8,REP,Lee Finley,1369,18,1015,0,336,0
Kaufman,7,Judge,8,REP,Lee Finley,2019,42,1598,3,376,0
Kaufman,8,Judge,8,REP,Lee Finley,792,24,600,0,168,0
Kaufman,9,Judge,8,REP,Lee Finley,1071,18,782,0,270,1
Kaufman,10,Judge,8,REP,Lee Finley,1742,20,1379,0,343,0
Kaufman,11,Judge,8,REP,Lee Finley,859,19,721,0,119,0
Kaufman,12,Judge,8,REP,Lee Finley,1255,17,1041,0,197,0
Kaufman,13,Judge,8,REP,Lee Finley,1461,18,1146,2,295,0
Kaufman,14,Judge,8,REP,Lee Finley,1694,20,1267,0,407,0
Kaufman,15,Judge,8,REP,Lee Finley,1652,25,1354,7,266,0
Kaufman,16,Judge,8,REP,Lee Finley,2207,26,1615,0,566,0
Kaufman,17,Judge,8,REP,Lee Finley,1178,9,898,1,270,0
Kaufman,18,Judge,8,REP,Lee Finley,1419,18,1167,0,234,0
Kaufman,19,Judge,8,REP,Lee Finley,1112,31,843,2,236,0
Kaufman,20,Judge,8,REP,Lee Finley,782,12,622,0,147,1
Kaufman,21,Judge,8,REP,Lee Finley,1436,23,1088,1,324,0
Kaufman,22,Judge,8,REP,Lee Finley,760,17,611,0,132,0
Kaufman,23,Judge,8,REP,Lee Finley,877,9,710,0,158,0
Kaufman,24,Judge,8,REP,Lee Finley,663,17,537,0,109,0
Kaufman,25,Judge,8,REP,Lee Finley,380,5,315,0,60,0
Kaufman,26,Judge,8,REP,Lee Finley,292,6,196,0,90,0
Kaufman,27,Judge,8,REP,Lee Finley,1919,30,1602,0,287,0
Kaufman,28,Judge,8,REP,Lee Finley,1039,16,873,0,150,0
Kaufman,29,Judge,8,REP,Lee Finley,1180,19,804,0,356,1
Kaufman,30,Judge,8,REP,Lee Finley,1115,13,847,1,254,0
Kaufman,31,Judge,8,REP,Lee Finley,627,6,498,0,123,0
Kaufman,32,Judge,8,REP,Lee Finley,1110,23,912,0,175,0
Kaufman,33,Judge,8,REP,Lee Finley,119,1,89,0,29,0
Kaufman,34,Judge,8,REP,Lee Finley,2126,41,1655,0,430,0
Kaufman,35,Judge,8,REP,Lee Finley,1147,9,887,1,250,0
Kaufman,36,Judge,8,REP,Lee Finley,1421,21,1175,3,222,0
Kaufman,37,Judge,8,REP,Lee Finley,710,6,493,0,211,0
Kaufman,1,Justice,10,DEM,Amanda Reichek,526,28,374,0,124,0
Kaufman,2,Justice,10,DEM,Amanda Reichek,173,6,121,0,46,0
Kaufman,3,Justice,10,DEM,Amanda Reichek,1141,27,916,0,198,0
Kaufman,4,Justice,10,DEM,Amanda Reichek,312,13,256,0,43,0
Kaufman,5,Justice,10,DEM,Amanda Reichek,688,30,492,2,162,2
Kaufman,6,Justice,10,DEM,Amanda Reichek,296,14,199,0,83,0
Kaufman,7,Justice,10,DEM,Amanda Reichek,1903,27,1470,2,403,1
Kaufman,8,Justice,10,DEM,Amanda Reichek,460,5,359,2,94,0
Kaufman,9,Justice,10,DEM,Amanda Reichek,265,6,187,1,70,1
Kaufman,10,Justice,10,DEM,Amanda Reichek,233,4,173,0,56,0
Kaufman,11,Justice,10,DEM,Amanda Reichek,371,14,294,1,62,0
Kaufman,12,Justice,10,DEM,Amanda Reichek,191,7,134,0,50,0
Kaufman,13,Justice,10,DEM,Amanda Reichek,1357,29,1043,0,285,0
Kaufman,14,Justice,10,DEM,Amanda Reichek,2233,43,1721,3,466,0
Kaufman,15,Justice,10,DEM,Amanda Reichek,276,4,215,2,55,0
Kaufman,16,Justice,10,DEM,Amanda Reichek,337,12,221,0,104,0
Kaufman,17,Justice,10,DEM,Amanda Reichek,178,13,126,1,38,0
Kaufman,18,Justice,10,DEM,Amanda Reichek,405,9,324,0,72,0
Kaufman,19,Justice,10,DEM,Amanda Reichek,491,23,367,0,101,0
Kaufman,20,Justice,10,DEM,Amanda Reichek,211,6,145,0,60,0
Kaufman,21,Justice,10,DEM,Amanda Reichek,282,15,194,0,73,0
Kaufman,22,Justice,10,DEM,Amanda Reichek,127,3,106,0,18,0
Kaufman,23,Justice,10,DEM,Amanda Reichek,274,14,203,0,57,0
Kaufman,24,Justice,10,DEM,Amanda Reichek,239,13,196,0,30,0
Kaufman,25,Justice,10,DEM,Amanda Reichek,192,9,141,1,41,0
Kaufman,26,Justice,10,DEM,Amanda Reichek,549,20,356,0,173,0
Kaufman,27,Justice,10,DEM,Amanda Reichek,1086,20,909,0,157,0
Kaufman,28,Justice,10,DEM,Amanda Reichek,265,9,221,0,35,0
Kaufman,29,Justice,10,DEM,Amanda Reichek,2035,26,1453,1,555,0
Kaufman,30,Justice,10,DEM,Amanda Reichek,288,7,187,2,92,0
Kaufman,31,Justice,10,DEM,Amanda Reichek,484,3,385,0,96,0
Kaufman,32,Justice,10,DEM,Amanda Reichek,562,16,451,0,95,0
Kaufman,33,Justice,10,DEM,Amanda Reichek,113,3,81,0,29,0
Kaufman,34,Justice,10,DEM,Amanda Reichek,1507,29,1145,0,333,0
Kaufman,35,Justice,10,DEM,Amanda Reichek,1681,27,1223,2,429,0
Kaufman,36,Justice,10,DEM,Amanda Reichek,828,15,651,0,162,0
Kaufman,37,Justice,10,DEM,Amanda Reichek,927,10,638,0,279,0
Kaufman,1,Justice,10,REP,Earl Jackson,1265,19,956,2,288,0
Kaufman,2,Justice,10,REP,Earl Jackson,854,20,654,0,180,0
Kaufman,3,Justice,10,REP,Earl Jackson,1838,33,1541,2,262,0
Kaufman,4,Justice,10,REP,Earl Jackson,1249,18,1085,1,145,0
Kaufman,5,Justice,10,REP,Earl Jackson,368,11,281,2,74,0
Kaufman,6,Justice,10,REP,Earl Jackson,1347,17,1004,0,326,0
Kaufman,7,Justice,10,REP,Earl Jackson,2022,42,1587,3,390,0
Kaufman,8,Justice,10,REP,Earl Jackson,783,24,596,0,163,0
Kaufman,9,Justice,10,REP,Earl Jackson,1047,16,771,0,260,0
Kaufman,10,Justice,10,REP,Earl Jackson,1726,19,1366,0,341,0
Kaufman,11,Justice,10,REP,Earl Jackson,852,18,718,0,116,0
Kaufman,12,Justice,10,REP,Earl Jackson,1235,16,1028,0,191,0
Kaufman,13,Justice,10,REP,Earl Jackson,1457,15,1148,2,292,0
Kaufman,14,Justice,10,REP,Earl Jackson,1666,21,1236,0,409,0
Kaufman,15,Justice,10,REP,Earl Jackson,1620,23,1333,6,258,0
Kaufman,16,Justice,10,REP,Earl Jackson,2169,23,1587,0,559,0
Kaufman,17,Justice,10,REP,Earl Jackson,1169,9,890,1,269,0
Kaufman,18,Justice,10,REP,Earl Jackson,1395,18,1144,1,232,0
Kaufman,19,Justice,10,REP,Earl Jackson,1106,32,835,2,237,0
Kaufman,20,Justice,10,REP,Earl Jackson,766,13,608,0,144,1
Kaufman,21,Justice,10,REP,Earl Jackson,1427,21,1091,1,314,0
Kaufman,22,Justice,10,REP,Earl Jackson,743,17,598,0,128,0
Kaufman,23,Justice,10,REP,Earl Jackson,865,6,704,0,155,0
Kaufman,24,Justice,10,REP,Earl Jackson,659,17,532,0,110,0
Kaufman,25,Justice,10,REP,Earl Jackson,372,5,308,0,59,0
Kaufman,26,Justice,10,REP,Earl Jackson,296,6,196,0,94,0
Kaufman,27,Justice,10,REP,Earl Jackson,1906,27,1591,0,288,0
Kaufman,28,Justice,10,REP,Earl Jackson,1024,16,862,0,146,0
Kaufman,29,Justice,10,REP,Earl Jackson,1210,19,822,0,368,1
Kaufman,30,Justice,10,REP,Earl Jackson,1091,13,830,1,247,0
Kaufman,31,Justice,10,REP,Earl Jackson,618,6,488,0,124,0
Kaufman,32,Justice,10,REP,Earl Jackson,1094,23,905,0,166,0
Kaufman,33,Justice,10,REP,Earl Jackson,118,1,88,0,29,0
Kaufman,34,Justice,10,REP,Earl Jackson,2089,39,1635,0,415,0
Kaufman,35,Justice,10,REP,Earl Jackson,1118,9,865,1,243,0
Kaufman,36,Justice,10,REP,Earl Jackson,1410,19,1162,3,226,0
Kaufman,37,Justice,10,REP,Earl Jackson,698,7,477,0,214,0
Kaufman,1,Justice,11,REP,Gino J. Rossini,1235,18,933,2,282,0
Kaufman,2,Justice,11,REP,Gino J. Rossini,841,18,656,0,167,0
Kaufman,3,Justice,11,REP,Gino J. Rossini,1813,34,1522,2,255,0
Kaufman,4,Justice,11,REP,Gino J. Rossini,1240,17,1079,0,144,0
Kaufman,5,Justice,11,REP,Gino J. Rossini,351,15,269,2,65,0
Kaufman,6,Justice,11,REP,Gino J. Rossini,1334,18,998,0,318,0
Kaufman,7,Justice,11,REP,Gino J. Rossini,1973,41,1561,3,368,0
Kaufman,8,Justice,11,REP,Gino J. Rossini,762,24,583,0,155,0
Kaufman,9,Justice,11,REP,Gino J. Rossini,1036,16,768,0,252,0
Kaufman,10,Justice,11,REP,Gino J. Rossini,1707,20,1346,0,341,0
Kaufman,11,Justice,11,REP,Gino J. Rossini,836,18,707,0,111,0
Kaufman,12,Justice,11,REP,Gino J. Rossini,1218,16,1014,0,188,0
Kaufman,13,Justice,11,REP,Gino J. Rossini,1420,17,1119,2,282,0
Kaufman,14,Justice,11,REP,Gino J. Rossini,1630,22,1209,0,399,0
Kaufman,15,Justice,11,REP,Gino J. Rossini,1604,23,1317,6,258,0
Kaufman,16,Justice,11,REP,Gino J. Rossini,2142,21,1564,0,557,0
Kaufman,17,Justice,11,REP,Gino J. Rossini,1158,9,881,1,267,0
Kaufman,18,Justice,11,REP,Gino J. Rossini,1378,18,1131,1,228,0
Kaufman,19,Justice,11,REP,Gino J. Rossini,1083,29,819,2,233,0
Kaufman,20,Justice,11,REP,Gino J. Rossini,765,13,611,0,141,0
Kaufman,21,Justice,11,REP,Gino J. Rossini,1417,23,1080,1,313,0
Kaufman,22,Justice,11,REP,Gino J. Rossini,744,17,599,0,128,0
Kaufman,23,Justice,11,REP,Gino J. Rossini,856,6,695,0,155,0
Kaufman,24,Justice,11,REP,Gino J. Rossini,638,17,521,0,100,0
Kaufman,25,Justice,11,REP,Gino J. Rossini,370,5,306,0,59,0
Kaufman,26,Justice,11,REP,Gino J. Rossini,287,6,193,0,88,0
Kaufman,27,Justice,11,REP,Gino J. Rossini,1880,29,1565,0,286,0
Kaufman,28,Justice,11,REP,Gino J. Rossini,1014,15,855,0,144,0
Kaufman,29,Justice,11,REP,Gino J. Rossini,1163,18,795,0,349,1
Kaufman,30,Justice,11,REP,Gino J. Rossini,1086,13,829,1,243,0
Kaufman,31,Justice,11,REP,Gino J. Rossini,616,6,492,0,118,0
Kaufman,32,Justice,11,REP,Gino J. Rossini,1090,21,905,0,164,0
Kaufman,33,Justice,11,REP,Gino J. Rossini,115,1,87,0,27,0
Kaufman,34,Justice,11,REP,Gino J. Rossini,2048,39,1609,0,400,0
Kaufman,35,Justice,11,REP,Gino J. Rossini,1106,9,863,2,232,0
Kaufman,36,Justice,11,REP,Gino J. Rossini,1390,20,1149,3,218,0
Kaufman,37,Justice,11,REP,Gino J. Rossini,680,6,470,0,204,0
Kaufman,1,Justice,11,DEM,Kim Cooks,545,28,389,0,128,0
Kaufman,2,Justice,11,DEM,Kim Cooks,184,8,118,0,58,0
Kaufman,3,Justice,11,DEM,Kim Cooks,1164,26,931,0,207,0
Kaufman,4,Justice,11,DEM,Kim Cooks,320,13,261,1,45,0
Kaufman,5,Justice,11,DEM,Kim Cooks,701,27,502,2,168,2
Kaufman,6,Justice,11,DEM,Kim Cooks,297,12,199,0,86,0
Kaufman,7,Justice,11,DEM,Kim Cooks,1950,27,1496,2,424,1
Kaufman,8,Justice,11,DEM,Kim Cooks,477,5,369,2,101,0
Kaufman,9,Justice,11,DEM,Kim Cooks,272,6,188,1,76,1
Kaufman,10,Justice,11,DEM,Kim Cooks,246,4,185,0,57,0
Kaufman,11,Justice,11,DEM,Kim Cooks,385,14,305,1,65,0
Kaufman,12,Justice,11,DEM,Kim Cooks,204,8,143,0,53,0
Kaufman,13,Justice,11,DEM,Kim Cooks,1384,28,1064,0,292,0
Kaufman,14,Justice,11,DEM,Kim Cooks,2270,43,1748,3,476,0
Kaufman,15,Justice,11,DEM,Kim Cooks,291,4,229,2,56,0
Kaufman,16,Justice,11,DEM,Kim Cooks,354,13,237,0,104,0
Kaufman,17,Justice,11,DEM,Kim Cooks,188,13,134,1,40,0
Kaufman,18,Justice,11,DEM,Kim Cooks,417,9,333,0,75,0
Kaufman,19,Justice,11,DEM,Kim Cooks,509,25,384,0,100,0
Kaufman,20,Justice,11,DEM,Kim Cooks,211,6,142,0,63,0
Kaufman,21,Justice,11,DEM,Kim Cooks,285,13,197,0,75,0
Kaufman,22,Justice,11,DEM,Kim Cooks,125,3,104,0,18,0
Kaufman,23,Justice,11,DEM,Kim Cooks,282,14,212,0,56,0
Kaufman,24,Justice,11,DEM,Kim Cooks,259,13,207,0,39,0
Kaufman,25,Justice,11,DEM,Kim Cooks,193,9,142,1,41,0
Kaufman,26,Justice,11,DEM,Kim Cooks,556,20,359,0,177,0
Kaufman,27,Justice,11,DEM,Kim Cooks,1103,17,927,0,159,0
Kaufman,28,Justice,11,DEM,Kim Cooks,270,9,224,0,37,0
Kaufman,29,Justice,11,DEM,Kim Cooks,2074,27,1476,1,570,0
Kaufman,30,Justice,11,DEM,Kim Cooks,294,7,189,2,96,0
Kaufman,31,Justice,11,DEM,Kim Cooks,482,3,379,0,100,0
Kaufman,32,Justice,11,DEM,Kim Cooks,563,18,451,0,94,0
Kaufman,33,Justice,11,DEM,Kim Cooks,116,3,82,0,31,0
Kaufman,34,Justice,11,DEM,Kim Cooks,1535,28,1162,0,345,0
Kaufman,35,Justice,11,DEM,Kim Cooks,1686,27,1222,1,436,0
Kaufman,36,Justice,11,DEM,Kim Cooks,841,14,658,0,169,0
Kaufman,37,Justice,11,DEM,Kim Cooks,944,11,644,0,289,0
Kaufman,1,Justice,12,DEM,Ken Molberg,512,28,369,0,115,0
Kaufman,2,Justice,12,DEM,Ken Molberg,177,8,120,0,49,0
Kaufman,3,Justice,12,DEM,Ken Molberg,1146,27,924,0,195,0
Kaufman,4,Justice,12,DEM,Ken Molberg,299,13,247,0,39,0
Kaufman,5,Justice,12,DEM,Ken Molberg,694,27,497,2,166,2
Kaufman,6,Justice,12,DEM,Ken Molberg,278,14,190,0,74,0
Kaufman,7,Justice,12,DEM,Ken Molberg,1893,26,1463,2,401,1
Kaufman,8,Justice,12,DEM,Ken Molberg,456,5,361,2,88,0
Kaufman,9,Justice,12,DEM,Ken Molberg,259,6,184,1,67,1
Kaufman,10,Justice,12,DEM,Ken Molberg,227,4,171,0,52,0
Kaufman,11,Justice,12,DEM,Ken Molberg,373,14,297,1,61,0
Kaufman,12,Justice,12,DEM,Ken Molberg,189,7,134,0,48,0
Kaufman,13,Justice,12,DEM,Ken Molberg,1359,30,1051,0,278,0
Kaufman,14,Justice,12,DEM,Ken Molberg,2211,43,1709,3,456,0
Kaufman,15,Justice,12,DEM,Ken Molberg,270,4,211,1,54,0
Kaufman,16,Justice,12,DEM,Ken Molberg,326,11,212,0,103,0
Kaufman,17,Justice,12,DEM,Ken Molberg,180,13,127,1,39,0
Kaufman,18,Justice,12,DEM,Ken Molberg,399,9,317,0,73,0
Kaufman,19,Justice,12,DEM,Ken Molberg,497,22,371,0,104,0
Kaufman,20,Justice,12,DEM,Ken Molberg,202,6,136,0,60,0
Kaufman,21,Justice,12,DEM,Ken Molberg,267,15,190,0,62,0
Kaufman,22,Justice,12,DEM,Ken Molberg,121,4,100,0,17,0
Kaufman,23,Justice,12,DEM,Ken Molberg,260,13,195,0,52,0
Kaufman,24,Justice,12,DEM,Ken Molberg,242,13,195,0,34,0
Kaufman,25,Justice,12,DEM,Ken Molberg,191,9,140,1,41,0
Kaufman,26,Justice,12,DEM,Ken Molberg,552,20,358,0,174,0
Kaufman,27,Justice,12,DEM,Ken Molberg,1067,18,897,0,152,0
Kaufman,28,Justice,12,DEM,Ken Molberg,247,8,208,0,31,0
Kaufman,29,Justice,12,DEM,Ken Molberg,2038,26,1450,1,561,0
Kaufman,30,Justice,12,DEM,Ken Molberg,271,7,176,2,86,0
Kaufman,31,Justice,12,DEM,Ken Molberg,472,3,373,0,96,0
Kaufman,32,Justice,12,DEM,Ken Molberg,553,16,447,0,90,0
Kaufman,33,Justice,12,DEM,Ken Molberg,113,3,81,0,29,0
Kaufman,34,Justice,12,DEM,Ken Molberg,1494,27,1136,0,331,0
Kaufman,35,Justice,12,DEM,Ken Molberg,1663,27,1212,1,423,0
Kaufman,36,Justice,12,DEM,Ken Molberg,813,14,643,0,156,0
Kaufman,37,Justice,12,DEM,Ken Molberg,917,11,627,0,279,0
Kaufman,1,Justice,12,REP,Mike Lee,1276,18,960,2,296,0
Kaufman,2,Justice,12,REP,Mike Lee,854,18,657,0,179,0
Kaufman,3,Justice,12,REP,Mike Lee,1832,33,1532,2,265,0
Kaufman,4,Justice,12,REP,Mike Lee,1256,17,1089,1,149,0
Kaufman,5,Justice,12,REP,Mike Lee,357,16,272,2,67,0
Kaufman,6,Justice,12,REP,Mike Lee,1357,17,1008,0,332,0
Kaufman,7,Justice,12,REP,Mike Lee,2025,41,1590,3,391,0
Kaufman,8,Justice,12,REP,Mike Lee,782,24,592,0,166,0
Kaufman,9,Justice,12,REP,Mike Lee,1054,16,774,0,264,0
Kaufman,10,Justice,12,REP,Mike Lee,1725,20,1363,0,342,0
Kaufman,11,Justice,12,REP,Mike Lee,845,17,714,0,114,0
Kaufman,12,Justice,12,REP,Mike Lee,1237,17,1027,0,193,0
Kaufman,13,Justice,12,REP,Mike Lee,1446,15,1133,2,296,0
Kaufman,14,Justice,12,REP,Mike Lee,1680,22,1241,0,417,0
Kaufman,15,Justice,12,REP,Mike Lee,1624,23,1334,7,260,0
Kaufman,16,Justice,12,REP,Mike Lee,2172,23,1590,0,559,0
Kaufman,17,Justice,12,REP,Mike Lee,1163,9,886,1,267,0
Kaufman,18,Justice,12,REP,Mike Lee,1401,18,1149,1,233,0
Kaufman,19,Justice,12,REP,Mike Lee,1095,33,830,2,230,0
Kaufman,20,Justice,12,REP,Mike Lee,774,13,616,0,144,1
Kaufman,21,Justice,12,REP,Mike Lee,1437,21,1091,1,324,0
Kaufman,22,Justice,12,REP,Mike Lee,753,16,607,0,130,0
Kaufman,23,Justice,12,REP,Mike Lee,876,7,711,0,158,0
Kaufman,24,Justice,12,REP,Mike Lee,650,17,528,0,105,0
Kaufman,25,Justice,12,REP,Mike Lee,370,5,306,0,59,0
Kaufman,26,Justice,12,REP,Mike Lee,296,6,196,0,94,0
Kaufman,27,Justice,12,REP,Mike Lee,1914,28,1594,0,292,0
Kaufman,28,Justice,12,REP,Mike Lee,1035,15,871,0,149,0
Kaufman,29,Justice,12,REP,Mike Lee,1194,18,818,0,357,1
Kaufman,30,Justice,12,REP,Mike Lee,1106,13,839,1,253,0
Kaufman,31,Justice,12,REP,Mike Lee,628,6,498,0,124,0
Kaufman,32,Justice,12,REP,Mike Lee,1102,23,909,0,170,0
Kaufman,33,Justice,12,REP,Mike Lee,118,1,88,0,29,0
Kaufman,34,Justice,12,REP,Mike Lee,2089,40,1635,0,414,0
Kaufman,35,Justice,12,REP,Mike Lee,1127,9,870,2,246,0
Kaufman,36,Justice,12,REP,Mike Lee,1417,20,1165,3,229,0
Kaufman,37,Justice,12,REP,Mike Lee,700,6,483,0,211,0
Kaufman,1,Justice,13,REP,Emily A. Miskel,1247,19,945,2,281,0
Kaufman,2,Justice,13,REP,Emily A. Miskel,844,19,654,0,171,0
