county,precinct,office,district,party,candidate,votes,absentee,early_voting,early_voting_provisional,election_day,election_day_provisional
Kaufman,17,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1158,9,884,1,264,0
Kaufman,18,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1395,19,1146,1,229,0
Kaufman,19,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1092,32,829,2,229,0
Kaufman,20,Chief Justice,,REP,Justin Jay 'J.J.' Koch,764,12,611,0,140,1
Kaufman,21,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1421,22,1080,1,318,0
Kaufman,22,Chief Justice,,REP,Justin Jay 'J.J.' Koch,743,16,597,0,130,0
Kaufman,23,Chief Justice,,REP,Justin Jay 'J.J.' Koch,860,7,700,0,153,0
Kaufman,24,Chief Justice,,REP,Justin Jay 'J.J.' Koch,642,17,521,0,104,0
Kaufman,25,Chief Justice,,REP,Justin Jay 'J.J.' Koch,374,5,308,0,61,0
Kaufman,26,Chief Justice,,REP,Justin Jay 'J.J.' Koch,291,6,193,0,92,0
Kaufman,27,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1903,29,1585,0,289,0
Kaufman,28,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1021,16,860,0,145,0
Kaufman,29,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1168,18,803,0,346,1
Kaufman,30,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1101,13,835,1,252,0
Kaufman,31,Chief Justice,,REP,Justin Jay 'J.J.' Koch,621,7,494,0,120,0
Kaufman,32,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1103,21,910,0,172,0
Kaufman,33,Chief Justice,,REP,Justin Jay 'J.J.' Koch,114,1,86,0,27,0
Kaufman,34,Chief Justice,,REP,Justin Jay 'J.J.' Koch,2071,38,1629,0,404,0
Kaufman,35,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1103,10,857,1,235,0
Kaufman,36,Chief Justice,,REP,Justin Jay 'J.J.' Koch,1399,20,1159,3,217,0
Kaufman,37,Chief Justice,,REP,Justin Jay 'J.J.' Koch,679,8,470,0,201,0
Kaufman,1,Chief Justice,,DEM,Staci Williams,536,29,379,0,128,0
Kaufman,2,Chief Justice,,DEM,Staci Williams,177,6,118,0,53,0
Kaufman,3,Chief Justice,,DEM,Staci Williams,1150,28,919,0,203,0
Kaufman,4,Chief Justice,,DEM,Staci Williams,314,13,261,0,40,0
Kaufman,5,Chief Justice,,DEM,Staci Williams,700,27,501,2,168,2
Kaufman,6,Chief Justice,,DEM,Staci Williams,293,14,196,0,83,0
Kaufman,7,Chief Justice,,DEM,Staci Williams,1942,28,1492,2,419,1
Kaufman,8,Chief Justice,,DEM,Staci Williams,471,5,367,2,97,0
Kaufman,9,Chief Justice,,DEM,Staci Williams,270,6,188,1,74,1
Kaufman,10,Chief Justice,,DEM,Staci Williams,244,4,179,0,61,0
Kaufman,11,Chief Justice,,DEM,Staci Williams,376,14,297,1,64,0
Kaufman,12,Chief Justice,,DEM,Staci Williams,202,8,141,0,53,0
Kaufman,13,Chief Justice,,DEM,Staci Williams,1370,27,1058,0,285,0
Kaufman,14,Chief Justice,,DEM,Staci Williams,2241,41,1726,3,471,0
Kaufman,15,Chief Justice,,DEM,Staci Williams,282,4,218,3,57,0
Kaufman,16,Chief Justice,,DEM,Staci Williams,360,12,240,0,108,0
Kaufman,17,Chief Justice,,DEM,Staci Williams,190,13,132,1,44,0
Kaufman,18,Chief Justice,,DEM,Staci Williams,412,8,329,0,75,0
Kaufman,19,Chief Justice,,DEM,Staci Williams,506,23,375,0,108,0
Kaufman,20,Chief Justice,,DEM,Staci Williams,216,6,146,0,64,0
Kaufman,21,Chief Justice,,DEM,Staci Williams,289,14,206,0,69,0
Kaufman,22,Chief Justice,,DEM,Staci Williams,131,4,110,0,17,0
Kaufman,23,Chief Justice,,DEM,Staci Williams,282,13,209,0,60,0
Kaufman,24,Chief Justice,,DEM,Staci Williams,256,14,203,0,39,0
Kaufman,25,Chief Justice,,DEM,Staci Williams,193,10,142,1,40,0
Kaufman,26,Chief Justice,,DEM,Staci Williams,557,20,361,1,175,0
Kaufman,27,Chief Justice,,DEM,Staci Williams,1097,18,921,0,158,0
Kaufman,28,Chief Justice,,DEM,Staci Williams,267,9,222,0,36,0
Kaufman,29,Chief Justice,,DEM,Staci Williams,2069,27,1463,1,578,0
Kaufman,30,Chief Justice,,DEM,Staci Williams,281,7,184,2,88,0
Kaufman,31,Chief Justice,,DEM,Staci Williams,487,2,385,0,100,0
Kaufman,32,Chief Justice,,DEM,Staci Williams,567,17,459,0,91,0
Kaufman,33,Chief Justice,,DEM,Staci Williams,115,3,81,0,31,0
Kaufman,34,Chief Justice,,DEM,Staci Williams,1525,29,1152,0,344,0
Kaufman,35,Chief Justice,,DEM,Staci Williams,1704,27,1231,2,444,0
Kaufman,36,Chief Justice,,DEM,Staci Williams,837,14,652,0,171,0
Kaufman,37,Chief Justice,,DEM,Staci Williams,949,9,649,0,291,0
Kaufman,1,Constable Pct 1,,REP,Shawn Mayfield,1492,28,1119,2,343,0
Kaufman,2,Constable Pct 1,,REP,Shawn Mayfield,947,21,719,0,207,0
Kaufman,3,Constable Pct 1,,REP,Shawn Mayfield,2231,38,1850,2,341,0
Kaufman,4,Constable Pct 1,,REP,Shawn Mayfield,1357,18,1165,1,173,0
Kaufman,21,Constable Pct 1,,REP,Shawn Mayfield,1518,23,1137,1,357,0
Kaufman,22,Constable Pct 1,,REP,Shawn Mayfield,784,18,627,0,139,0
Kaufman,23,Constable Pct 1,,REP,Shawn Mayfield,958,11,767,0,180,0
Kaufman,28,Constable Pct 1,,REP,Shawn Mayfield,1144,18,962,0,164,0
Kaufman,31,Constable Pct 1,,REP,Shawn Mayfield,801,7,638,0,156,0
Kaufman,33,Constable Pct 1,,REP,Shawn Mayfield,165,1,124,0,40,0
Kaufman,34,Constable Pct 1,,REP,Shawn Mayfield,2673,43,2060,0,570,0
