county,precinct,office,district,party,candidate,votes,election_day,early_voting,ballot_by_mail,provisional,limited
Collin,PCT 001,President,,Rep,Donald J. Trump/JD Vance,1036,119,886,30,1,0
Collin,PCT 001,President,,Dem,Kamala D. Harris/Tim Walz,849,121,689,33,6,0
Collin,PCT 001,President,,Lib,Chase Oliver/Mike ter Maat,12,2,10,0,0,0
Collin,PCT 001,President,,Grn,Jill Stein/Rudolph Ware,6,1,5,0,0,0
Collin,PCT 001,President,,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,President,,,Under Votes,10,2,8,0,0,0
Collin,PCT 001,U.S. Senate,,Rep,Ted Cruz,994,104,861,28,1,0
Collin,PCT 001,U.S. Senate,,Dem,Colin Allred,872,128,704,34,6,0
Collin,PCT 001,U.S. Senate,,Lib,Ted Brown,36,6,30,0,0,0
Collin,PCT 001,U.S. Senate,,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,U.S. Senate,,,Under Votes,23,8,14,1,0,0
Collin,PCT 001,U.S. House,3,Rep,Keith Self,1082,116,936,28,2,0
Collin,PCT 001,U.S. House,3,Dem,Sandeep Srivastava,778,114,629,30,5,0
Collin,PCT 001,U.S. House,3,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,U.S. House,3,,Under Votes,66,16,45,5,0,0
Collin,PCT 001,Railroad Commissioner,,Rep,Christi Craddick,1035,116,893,26,0,0
Collin,PCT 001,Railroad Commissioner,,Dem,Katherine Culbert,714,99,579,29,7,0
Collin,PCT 001,Railroad Commissioner,,Lib,Hawk Dunlap,58,14,43,1,0,0
Collin,PCT 001,Railroad Commissioner,,Grn,Eddie Espinoza,29,6,22,1,0,0
Collin,PCT 001,Railroad Commissioner,,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,Railroad Commissioner,,,Under Votes,86,11,69,6,0,0
Collin,PCT 001,"Justice, Supreme Court, Place 2",2,Rep,Jimmy Blacklock,1078,119,926,31,2,0
Collin,PCT 001,"Justice, Supreme Court, Place 2",2,Dem,DaSean Jones,761,110,617,29,5,0
Collin,PCT 001,"Justice, Supreme Court, Place 2",2,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Justice, Supreme Court, Place 2",2,,Under Votes,87,17,67,3,0,0
Collin,PCT 001,"Justice, Supreme Court, Place 4",4,Rep,John Devine,1040,112,897,29,2,0
Collin,PCT 001,"Justice, Supreme Court, Place 4",4,Dem,Christine Vinh Weems,777,113,629,30,5,0
Collin,PCT 001,"Justice, Supreme Court, Place 4",4,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Justice, Supreme Court, Place 4",4,,Under Votes,109,21,84,4,0,0
Collin,PCT 001,"Justice, Supreme Court, Place 6",6,Rep,Jane Bland,1023,110,884,27,2,0
Collin,PCT 001,"Justice, Supreme Court, Place 6",6,Dem,Bonnie Lee Goldstein,741,103,601,32,5,0
Collin,PCT 001,"Justice, Supreme Court, Place 6",6,Lib,J. David Roberson,72,15,56,1,0,0
Collin,PCT 001,"Justice, Supreme Court, Place 6",6,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Justice, Supreme Court, Place 6",6,,Under Votes,90,18,69,3,0,0
Collin,PCT 001,"Presiding Judge, Court of Criminal Appeals",,Rep,David J. Schenck,1051,112,907,31,1,0
Collin,PCT 001,"Presiding Judge, Court of Criminal Appeals",,Dem,Holly Taylor,770,114,625,26,5,0
Collin,PCT 001,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,105,20,78,6,1,0
