county,precinct,office,district,party,candidate,votes
Collingsworth,PCT 101 Rocket House,Ballots Cast,,,,93
Collingsworth,PCT 101 Rocket House,President,,REP,Donald J. Trump,83
Collingsworth,PCT 101 Rocket House,President,,DEM,Kamala D. Harris,10
Collingsworth,PCT 101 Rocket House,President,,LIB,Chase Oliver,0
Collingsworth,PCT 101 Rocket House,President,,GRN,Jill Stein,0
Collingsworth,PCT 101 Rocket House,U.S. Senate,,REP,Ted Cruz,80
Collingsworth,PCT 101 Rocket House,U.S. Senate,,DEM,Colin Allred,12
Collingsworth,PCT 101 Rocket House,U.S. Senate,,LIB,Ted Brown,0
Collingsworth,PCT 101 Rocket House,U.S. House,13,REP,Ronny Jackson,79
Collingsworth,PCT 101 Rocket House,Railroad Commissioner,,REP,Christi Craddick,79
Collingsworth,PCT 101 Rocket House,Railroad Commissioner,,DEM,Katherine Culbert,8
Collingsworth,PCT 101 Rocket House,Railroad Commissioner,,LIB,Hawk Dunlap,0
Collingsworth,PCT 101 Rocket House,Railroad Commissioner,,GRE,Eddie Espinoza,1
Collingsworth,PCT 101 Rocket House,Justice of the Supreme Court PL 2,,REP,Jimmy Blacklock,81
Collingsworth,PCT 101 Rocket House,Justice of the Supreme Court PL 2,,DEM,DaSean Jones,8
Collingsworth,PCT 101 Rocket House,Justice of the Supreme Court PL 4,,REP,John Devine,72
Collingsworth,PCT 101 Rocket House,Justice of the Supreme Court PL 4,,DEM,Christine Vinh Weems,8
Collingsworth,PCT 101 Rocket House,Justice of the Supreme Court PL 6,,REP,Jane Bland,79
Collingsworth,PCT 101 Rocket House,Justice of the Supreme Court PL 6,,DEM,Bonnie Lee Goldstein,8
Collingsworth,PCT 101 Rocket House,Justice of the Supreme Court PL 6,,LIB,J. David Roberson,1
Collingsworth,PCT 101 Rocket House,"Presiding Judge, Court of Criminal Appeals",,REP,David J Schenck,79
Collingsworth,PCT 101 Rocket House,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,8
Collingsworth,PCT 101 Rocket House,"Judge, Court of Criminal Appeals, PL 7",,REP,Gina Parker,78
Collingsworth,PCT 101 Rocket House,"Judge, Court of Criminal Appeals, PL 7",,DEM,Nancy Mulder,8
Collingsworth,PCT 101 Rocket House,"Judge, Court of Criminal Appeals, PL 8",,REP,Lee Finley,79
Collingsworth,PCT 101 Rocket House,"Judge, Court of Criminal Appeals, PL 8",,DEM,Chika Anyiam,8
Collingsworth,PCT 101 Rocket House,"Member, State Board of Education, District 15",,REP,Aaron Kinsey,73
Collingsworth,PCT 101 Rocket House,"Member, State Board of Education, District 15",,DEM,Morgan Kirkpatrick,14
Collingsworth,PCT 101 Rocket House,"Member, State Board of Education, District 15",,LIB,Jack B. Westbrook,1
Collingsworth,PCT 101 Rocket House,State House,88,REP,Ken King,82
Collingsworth,PCT 101 Rocket House,"Justice, 7th Court of Appeals Dist, PL 2",,REP,Judy Parker,80
Collingsworth,PCT 101 Rocket House,"Justice, 7th Court of Appeals Dist. PL 3",,REP,Alex Yarbrough,82
Collingsworth,PCT 101 Rocket House,"District Judge, 100th Judicial District",,REP,"Dale A. Rabe, Jr",79
Collingsworth,PCT 101 Rocket House,"District Attorney, 100th Judicial District",,REP,Luke McLean Inman,86
Collingsworth,PCT 101 Rocket House,County Attorney,,REP,Keith Davis,85
Collingsworth,PCT 101 Rocket House,Sheriff,,REP,Kent Riley,81
Collingsworth,PCT 101 Rocket House,Tax Assessor-Collector,,REP,Sharon Sherwood,84
Collingsworth,PCT 101 Rocket House,"County Commissioner, Pct 1",,REP,Farris Nation,54
Collingsworth,PCT 101 Rocket House,"County Commissioner, Pct 2",,REP,Justin Mixon,34
