county,precinct,office,district,party,candidate,votes,absentee,early,election,limited,provisional
Hood,313,Railroad Commissioner,,DEM,Katherine Culbert,339,41,249,48,1,0
Hood,314,Railroad Commissioner,,DEM,Katherine Culbert,418,20,314,82,1,1
Hood,317,Railroad Commissioner,,DEM,Katherine Culbert,228,15,188,23,2,0
Hood,404,Railroad Commissioner,,DEM,Katherine Culbert,247,19,167,61,0,0
Hood,408,Railroad Commissioner,,DEM,Katherine Culbert,327,32,243,52,0,0
Hood,409,Railroad Commissioner,,DEM,Katherine Culbert,450,28,345,76,1,0
Hood,415,Railroad Commissioner,,DEM,Katherine Culbert,57,9,23,25,0,0
Hood,101,Registered Voters,,,,2243,,,,,
Hood,103,Registered Voters,,,,3592,,,,,
Hood,105,Registered Voters,,,,2900,,,,,
Hood,107,Registered Voters,,,,1088,,,,,
Hood,112,Registered Voters,,,,2292,,,,,
Hood,202,Registered Voters,,,,4345,,,,,
Hood,211,Registered Voters,,,,3219,,,,,
Hood,216,Registered Voters,,,,3440,,,,,
Hood,218,Registered Voters,,,,2910,,,,,
Hood,310,Registered Voters,,,,2746,,,,,
Hood,313,Registered Voters,,,,3609,,,,,
Hood,314,Registered Voters,,,,4491,,,,,
Hood,317,Registered Voters,,,,2876,,,,,
Hood,404,Registered Voters,,,,2478,,,,,
Hood,408,Registered Voters,,,,3378,,,,,
Hood,409,Registered Voters,,,,5397,,,,,
Hood,415,Registered Voters,,,,693,,,,,
Hood,101,State Representative,59,DEM,Hannah Bohm,266,28,197,41,0,0
Hood,103,State Representative,59,DEM,Hannah Bohm,381,38,269,74,0,0
Hood,105,State Representative,59,DEM,Hannah Bohm,217,14,136,67,0,0
Hood,107,State Representative,59,DEM,Hannah Bohm,66,3,32,31,0,0
Hood,112,State Representative,59,DEM,Hannah Bohm,237,20,178,39,0,0
Hood,202,State Representative,59,DEM,Hannah Bohm,485,44,362,79,0,0
Hood,211,State Representative,59,DEM,Hannah Bohm,330,9,262,59,0,0
Hood,216,State Representative,59,DEM,Hannah Bohm,415,62,301,52,0,0
Hood,218,State Representative,59,DEM,Hannah Bohm,354,37,258,59,0,0
Hood,310,State Representative,59,DEM,Hannah Bohm,373,25,305,43,0,0
Hood,313,State Representative,59,DEM,Hannah Bohm,367,41,275,51,0,0
Hood,314,State Representative,59,DEM,Hannah Bohm,491,23,370,97,0,1
Hood,317,State Representative,59,DEM,Hannah Bohm,271,16,228,27,0,0
Hood,404,State Representative,59,DEM,Hannah Bohm,259,17,180,61,1,0
Hood,408,State Representative,59,DEM,Hannah Bohm,379,33,274,72,0,0
Hood,409,State Representative,59,DEM,Hannah Bohm,513,29,391,93,0,0
Hood,415,State Representative,59,DEM,Hannah Bohm,63,9,28,26,0,0
Hood,101,State Representative,59,REP,Shelby Slawson,1215,75,988,151,1,0
Hood,103,State Representative,59,REP,Shelby Slawson,1982,56,1619,303,4,0
Hood,105,State Representative,59,REP,Shelby Slawson,1807,30,1150,622,5,0
Hood,107,State Representative,59,REP,Shelby Slawson,678,9,300,369,0,0
Hood,112,State Representative,59,REP,Shelby Slawson,1096,19,856,221,0,0
Hood,202,State Representative,59,REP,Shelby Slawson,2232,72,1776,383,0,1
Hood,211,State Representative,59,REP,Shelby Slawson,1782,41,1397,344,0,0
Hood,216,State Representative,59,REP,Shelby Slawson,2260,92,1857,310,1,0
Hood,218,State Representative,59,REP,Shelby Slawson,1957,86,1593,277,1,0
Hood,310,State Representative,59,REP,Shelby Slawson,1689,55,1483,150,1,0
Hood,313,State Representative,59,REP,Shelby Slawson,2261,109,1924,225,3,0
Hood,314,State Representative,59,REP,Shelby Slawson,2429,43,2012,371,2,1
Hood,317,State Representative,59,REP,Shelby Slawson,1784,40,1529,211,4,0
Hood,404,State Representative,59,REP,Shelby Slawson,1139,31,882,225,1,0
Hood,408,State Representative,59,REP,Shelby Slawson,1980,50,1648,280,0,2
Hood,409,State Representative,59,REP,Shelby Slawson,3142,77,2591,471,2,1
Hood,415,State Representative,59,REP,Shelby Slawson,264,10,183,71,0,0
Hood,101,U.S. House,25,REP,Roger Williams,1323,77,1075,169,2,0
Hood,103,U.S. House,25,REP,Roger Williams,2144,59,1731,342,12,0
Hood,105,U.S. House,25,REP,Roger Williams,1927,32,1223,661,11,0
Hood,107,U.S. House,25,REP,Roger Williams,706,12,309,382,3,0
Hood,112,U.S. House,25,REP,Roger Williams,1211,25,935,246,5,0
Hood,202,U.S. House,25,REP,Roger Williams,2461,87,1934,430,9,1
Hood,211,U.S. House,25,REP,Roger Williams,1932,44,1493,384,11,0
Hood,216,U.S. House,25,REP,Roger Williams,2409,103,1960,344,2,0
Hood,218,U.S. House,25,REP,Roger Williams,2072,87,1677,303,5,0
Hood,310,U.S. House,25,REP,Roger Williams,1843,63,1607,169,4,0
Hood,313,U.S. House,25,REP,Roger Williams,2423,110,2062,246,5,0
Hood,314,U.S. House,25,REP,Roger Williams,2656,48,2168,431,8,1
Hood,317,U.S. House,25,REP,Roger Williams,1917,43,1638,227,9,0
Hood,404,U.S. House,25,REP,Roger Williams,1257,33,967,252,5,0
Hood,408,U.S. House,25,REP,Roger Williams,2110,56,1732,317,3,2
Hood,409,U.S. House,25,REP,Roger Williams,3353,80,2746,514,12,1
Hood,415,U.S. House,25,REP,Roger Williams,300,15,201,83,1,0
Hood,Federal Only,U.S. House,25,REP,Roger Williams,7,7,0,0,0,0
Hood,101,U.S. Senate,,DEM,Colin Allred,332,32,243,56,1,0
Hood,103,U.S. Senate,,DEM,Colin Allred,446,45,313,85,3,0
Hood,105,U.S. Senate,,DEM,Colin Allred,259,15,155,86,3,0
Hood,107,U.S. Senate,,DEM,Colin Allred,82,2,36,44,0,0
Hood,112,U.S. Senate,,DEM,Colin Allred,270,23,196,51,0,0
Hood,202,U.S. Senate,,DEM,Colin Allred,566,52,414,98,2,0
Hood,211,U.S. Senate,,DEM,Colin Allred,392,13,302,76,1,0
Hood,216,U.S. Senate,,DEM,Colin Allred,499,67,353,79,0,0
Hood,218,U.S. Senate,,DEM,Colin Allred,426,44,302,75,4,1
Hood,310,U.S. Senate,,DEM,Colin Allred,467,27,381,59,0,0
Hood,313,U.S. Senate,,DEM,Colin Allred,485,49,366,68,2,0
Hood,314,U.S. Senate,,DEM,Colin Allred,586,24,436,123,2,1
Hood,317,U.S. Senate,,DEM,Colin Allred,321,17,264,39,1,0
Hood,404,U.S. Senate,,DEM,Colin Allred,312,20,216,76,0,0
Hood,408,U.S. Senate,,DEM,Colin Allred,448,35,333,80,0,0
Hood,409,U.S. Senate,,DEM,Colin Allred,620,34,471,114,1,0
Hood,415,U.S. Senate,,DEM,Colin Allred,75,9,35,31,0,0
Hood,Federal Only,U.S. Senate,,DEM,Colin Allred,18,18,0,0,0,0
Hood,101,U.S. Senate,,REP,Ted Cruz,1187,75,964,140,8,0
Hood,103,U.S. Senate,,REP,Ted Cruz,1941,52,1591,282,16,0
Hood,105,U.S. Senate,,REP,Ted Cruz,1796,28,1146,605,17,0
Hood,107,U.S. Senate,,REP,Ted Cruz,672,9,299,361,3,0
Hood,112,U.S. Senate,,REP,Ted Cruz,1068,18,832,209,9,0
Hood,202,U.S. Senate,,REP,Ted Cruz,2174,64,1742,350,17,1
Hood,211,U.S. Senate,,REP,Ted Cruz,1737,39,1358,325,15,0
Hood,216,U.S. Senate,,REP,Ted Cruz,2231,86,1850,291,4,0
Hood,218,U.S. Senate,,REP,Ted Cruz,1917,80,1568,262,7,0
Hood,310,U.S. Senate,,REP,Ted Cruz,1640,61,1444,131,4,0
Hood,313,U.S. Senate,,REP,Ted Cruz,2195,105,1873,211,6,0
Hood,314,U.S. Senate,,REP,Ted Cruz,2395,48,1984,349,13,1
Hood,317,U.S. Senate,,REP,Ted Cruz,1790,38,1535,201,16,0
Hood,404,U.S. Senate,,REP,Ted Cruz,1110,31,860,211,8,0
Hood,408,U.S. Senate,,REP,Ted Cruz,1937,50,1612,261,12,2
Hood,409,U.S. Senate,,REP,Ted Cruz,3063,73,2535,437,17,1
Hood,415,U.S. Senate,,REP,Ted Cruz,254,10,179,63,2,0
Hood,Federal Only,U.S. Senate,,REP,Ted Cruz,5,5,0,0,0,0
