county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Stephens,Precinct 1,Ballots Cast,,,,715,25,517,173
Stephens,Precinct 1,Ballots Cast Blank,,,,0,0,0,0
Stephens,Precinct 1,President,,REP,Donald J. Trump,637,24,462,151
Stephens,Precinct 1,President,,DEM,Kamala D. Harris,73,1,52,20
Stephens,Precinct 1,President,,LIB,Chase Oliver,0,0,0,0
Stephens,Precinct 1,President,,GRN,Jill Stein,1,0,0,1
Stephens,Precinct 1,President,,,Write-ins,1,0,1,0
Stephens,Precinct 1,President,,,Over Votes,1,0,1,0
Stephens,Precinct 1,President,,,Under Votes,3,0,2,1
Stephens,Precinct 1,U.S. Senate,,REP,Ted Cruz,615,24,447,144
Stephens,Precinct 1,U.S. Senate,,DEM,Colin Allred,85,1,58,26
Stephens,Precinct 1,U.S. Senate,,LIB,Ted Brown,11,0,10,1
Stephens,Precinct 1,U.S. Senate,,,Write-ins,0,0,0,0
Stephens,Precinct 1,U.S. Senate,,,Over Votes,0,0,0,0
Stephens,Precinct 1,U.S. Senate,,,Under Votes,4,0,2,2
Stephens,Precinct 1,U.S. House,25,REP,Roger Williams,618,23,449,146
Stephens,Precinct 1,U.S. House,25,,Over Votes,0,0,0,0
Stephens,Precinct 1,U.S. House,25,,Under Votes,97,2,68,27
Stephens,Precinct 1,Railroad Commissioner,,REP,Christi Craddick,603,23,438,142
Stephens,Precinct 1,Railroad Commissioner,,DEM,Katherine Culbert,56,1,42,13
Stephens,Precinct 1,Railroad Commissioner,,LIB,Hawk Dunlap,16,0,10,6
Stephens,Precinct 1,Railroad Commissioner,,GRN,Eddie Espinoza,6,0,5,1
Stephens,Precinct 1,Railroad Commissioner,,,Write-ins,1,0,0,1
Stephens,Precinct 1,Railroad Commissioner,,,Over Votes,0,0,0,0
Stephens,Precinct 1,Railroad Commissioner,,,Under Votes,33,1,22,10
Stephens,Precinct 1,"Justice, Supreme Court",2,REP,Jimmy Blacklock,619,24,452,143
Stephens,Precinct 1,"Justice, Supreme Court",2,DEM,DaSean Jones,62,1,42,19
Stephens,Precinct 1,"Justice, Supreme Court",2,,Over Votes,0,0,0,0
Stephens,Precinct 1,"Justice, Supreme Court",2,,Under Votes,34,0,23,11
Stephens,Precinct 1,"Justice, Supreme Court",4,REP,John Devine,613,24,445,144
Stephens,Precinct 1,"Justice, Supreme Court",4,DEM,Christine Vinh Weems,61,1,43,17
Stephens,Precinct 1,"Justice, Supreme Court",4,,Over Votes,0,0,0,0
Stephens,Precinct 1,"Justice, Supreme Court",4,,Under Votes,41,0,29,12
Stephens,Precinct 1,"Justice, Supreme Court",6,REP,Jane Bland,604,24,438,142
Stephens,Precinct 1,"Justice, Supreme Court",6,DEM,Bonnie Lee Goldstein,61,1,43,17
Stephens,Precinct 1,"Justice, Supreme Court",6,LIB,J. David Roberson,14,0,11,3
Stephens,Precinct 1,"Justice, Supreme Court",6,,Over Votes,0,0,0,0
Stephens,Precinct 1,"Justice, Supreme Court",6,,Under Votes,36,0,25,11
Stephens,Precinct 1,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,611,24,445,142
Stephens,Precinct 1,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,70,1,48,21
Stephens,Precinct 1,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
Stephens,Precinct 1,"Presiding Judge, Ct of Crim App",,,Under Votes,34,0,24,10
Stephens,Precinct 1,"Judge, Ct of Crim App",7,REP,Gina Parker,610,24,440,146
Stephens,Precinct 1,"Judge, Ct of Crim App",7,DEM,Nancy Mulder,60,1,43,16
Stephens,Precinct 1,"Judge, Ct of Crim App",7,,Over Votes,1,0,1,0
Stephens,Precinct 1,"Judge, Ct of Crim App",7,,Under Votes,44,0,33,11
Stephens,Precinct 1,"Judge, Ct of Crim App",8,REP,Lee Finley,618,23,450,145
Stephens,Precinct 1,"Judge, Ct of Crim App",8,DEM,Chika Anyiam,59,1,40,18
Stephens,Precinct 1,"Judge, Ct of Crim App",8,,Over Votes,0,0,0,0
Stephens,Precinct 1,"Judge, Ct of Crim App",8,,Under Votes,38,1,27,10
Stephens,Precinct 1,"Member, State BoE",15,REP,Aaron Kinsey,605,24,438,143
Stephens,Precinct 1,"Member, State BoE",15,DEM,Morgan Kirkpatrick,63,1,46,16
Stephens,Precinct 1,"Member, State BoE",15,LIB,Jack B. Westbrook,11,0,7,4
Stephens,Precinct 1,"Member, State BoE",15,,Over Votes,0,0,0,0
Stephens,Precinct 1,"Member, State BoE",15,,Under Votes,36,0,26,10
Stephens,Precinct 1,State Senate,10,REP,Phil King,621,24,450,147
Stephens,Precinct 1,State Senate,10,DEM,Andy Morris,60,1,43,16
Stephens,Precinct 1,State Senate,10,,Over Votes,0,0,0,0
Stephens,Precinct 1,State Senate,10,,Under Votes,34,0,24,10
Stephens,Precinct 1,State Representative,60,REP,Mike Olcott,607,21,445,141
Stephens,Precinct 1,State Representative,60,,Over Votes,0,0,0,0
Stephens,Precinct 1,State Representative,60,,Under Votes,106,2,72,32
Stephens,Precinct 1,"Chief Justice, 11th Ct of App Dist",,REP,John Bailey,605,21,443,141
Stephens,Precinct 1,"Chief Justice, 11th Ct of App Dist",,,Over Votes,0,0,0,0
Stephens,Precinct 1,"Chief Justice, 11th Ct of App Dist",,,Under Votes,108,2,74,32
Stephens,Precinct 1,Dist Judge,90,REP,Phillip C. Gregory,607,20,446,141
Stephens,Precinct 1,Dist Judge,90,,Over Votes,0,0,0,0
Stephens,Precinct 1,Dist Judge,90,,Under Votes,106,3,71,32
Stephens,Precinct 1,Dist Attorney,90,REP,Dee Peavy,603,21,442,140
Stephens,Precinct 1,Dist Attorney,90,,Over Votes,0,0,0,0
Stephens,Precinct 1,Dist Attorney,90,,Under Votes,110,2,75,33
Stephens,Precinct 1,County Attorney,,REP,Gary Trammel,614,20,452,142
Stephens,Precinct 1,County Attorney,,,Over Votes,0,0,0,0
Stephens,Precinct 1,County Attorney,,,Under Votes,99,3,65,31
Stephens,Precinct 1,Sheriff,,REP,Kevin Roach,640,21,471,148
Stephens,Precinct 1,Sheriff,,,Over Votes,0,0,0,0
Stephens,Precinct 1,Sheriff,,,Under Votes,73,2,46,25
Stephens,Precinct 1,County Tax Assessor-Collector,,REP,Crystal Shook,608,21,447,140
Stephens,Precinct 1,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
Stephens,Precinct 1,County Tax Assessor-Collector,,,Under Votes,105,2,70,33
Stephens,Precinct 1,County Treasurer,,REP,Kelsey Cornwall,608,21,449,138
Stephens,Precinct 1,County Treasurer,,,Over Votes,0,0,0,0
Stephens,Precinct 1,County Treasurer,,,Under Votes,105,2,68,35
Stephens,Precinct 1,County Commissioner,1,REP,David Fambro,543,19,395,129
Stephens,Precinct 1,County Commissioner,1,,Write-ins,85,2,65,18
Stephens,Precinct 1,County Commissioner,1,,Over Votes,0,0,0,0
Stephens,Precinct 1,County Commissioner,1,,Under Votes,85,2,57,26
Stephens,Precinct 1,Constable,1,REP,Wayne McMullen,597,20,444,133
Stephens,Precinct 1,Constable,1,,Over Votes,0,0,0,0
Stephens,Precinct 1,Constable,1,,Under Votes,116,3,73,40
Stephens,Precinct 1,Creation of a County Assistance District,,,For,85,5,59,21
Stephens,Precinct 1,Creation of a County Assistance District,,,Against,192,6,143,43
Stephens,Precinct 1,Creation of a County Assistance District,,,Over Votes,0,0,0,0
Stephens,Precinct 1,Creation of a County Assistance District,,,Under Votes,22,0,16,6
Stephens,Precinct 2,Ballots Cast,,,,1060,38,789,233
Stephens,Precinct 2,Ballots Cast Blank,,,,1,0,1,0
Stephens,Precinct 2,President,,REP,Donald J. Trump,946,37,712,197
Stephens,Precinct 2,President,,DEM,Kamala D. Harris,101,1,70,30
Stephens,Precinct 2,President,,LIB,Chase Oliver,4,0,1,3
Stephens,Precinct 2,President,,GRN,Jill Stein,2,0,1,1
Stephens,Precinct 2,President,,,Write-ins,1,0,1,0
Stephens,Precinct 2,President,,,Over Votes,1,0,1,0
Stephens,Precinct 2,President,,,Under Votes,4,0,2,2
Stephens,Precinct 2,U.S. Senate,,REP,Ted Cruz,894,36,679,179
Stephens,Precinct 2,U.S. Senate,,DEM,Colin Allred,124,2,88,34
Stephens,Precinct 2,U.S. Senate,,LIB,Ted Brown,22,0,13,9
Stephens,Precinct 2,U.S. Senate,,,Write-ins,1,0,1,0
Stephens,Precinct 2,U.S. Senate,,,Over Votes,0,0,0,0
Stephens,Precinct 2,U.S. Senate,,,Under Votes,19,0,8,11
Stephens,Precinct 2,U.S. House,25,REP,Roger Williams,905,34,684,187
Stephens,Precinct 2,U.S. House,25,,Over Votes,0,0,0,0
Stephens,Precinct 2,U.S. House,25,,Under Votes,154,3,105,46
Stephens,Precinct 2,Railroad Commissioner,,REP,Christi Craddick,905,37,678,190
Stephens,Precinct 2,Railroad Commissioner,,DEM,Katherine Culbert,84,1,61,22
Stephens,Precinct 2,Railroad Commissioner,,LIB,Hawk Dunlap,29,0,22,7
Stephens,Precinct 2,Railroad Commissioner,,GRN,Eddie Espinoza,9,0,6,3
Stephens,Precinct 2,Railroad Commissioner,,,Write-ins,0,0,0,0
Stephens,Precinct 2,Railroad Commissioner,,,Over Votes,0,0,0,0
Stephens,Precinct 2,Railroad Commissioner,,,Under Votes,33,0,22,11
Stephens,Precinct 2,"Justice, Supreme Court",2,REP,Jimmy Blacklock,934,37,704,193
Stephens,Precinct 2,"Justice, Supreme Court",2,DEM,DaSean Jones,88,1,59,28
Stephens,Precinct 2,"Justice, Supreme Court",2,,Over Votes,0,0,0,0
Stephens,Precinct 2,"Justice, Supreme Court",2,,Under Votes,38,0,26,12
Stephens,Precinct 2,"Justice, Supreme Court",4,REP,John Devine,913,37,692,184
Stephens,Precinct 2,"Justice, Supreme Court",4,DEM,Christine Vinh Weems,94,1,62,31
Stephens,Precinct 2,"Justice, Supreme Court",4,,Over Votes,0,0,0,0
Stephens,Precinct 2,"Justice, Supreme Court",4,,Under Votes,53,0,35,18
Stephens,Precinct 2,"Justice, Supreme Court",6,REP,Jane Bland,911,37,683,191
Stephens,Precinct 2,"Justice, Supreme Court",6,DEM,Bonnie Lee Goldstein,82,1,62,19
Stephens,Precinct 2,"Justice, Supreme Court",6,LIB,J. David Roberson,24,0,15,9
Stephens,Precinct 2,"Justice, Supreme Court",6,,Over Votes,0,0,0,0
Stephens,Precinct 2,"Justice, Supreme Court",6,,Under Votes,43,0,29,14
Stephens,Precinct 2,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,922,37,696,189
Stephens,Precinct 2,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,100,1,67,32
Stephens,Precinct 2,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
Stephens,Precinct 2,"Presiding Judge, Ct of Crim App",,,Under Votes,38,0,26,12
Stephens,Precinct 2,"Judge, Ct of Crim App",7,REP,Gina Parker,907,35,685,187
Stephens,Precinct 2,"Judge, Ct of Crim App",7,DEM,Nancy Mulder,96,1,65,30
Stephens,Precinct 2,"Judge, Ct of Crim App",7,,Over Votes,0,0,0,0
Stephens,Precinct 2,"Judge, Ct of Crim App",7,,Under Votes,57,2,39,16
Stephens,Precinct 2,"Judge, Ct of Crim App",8,REP,Lee Finley,919,35,690,194
Stephens,Precinct 2,"Judge, Ct of Crim App",8,DEM,Chika Anyiam,87,2,62,23
Stephens,Precinct 2,"Judge, Ct of Crim App",8,,Over Votes,0,0,0,0
Stephens,Precinct 2,"Judge, Ct of Crim App",8,,Under Votes,54,1,37,16
Stephens,Precinct 2,"Member, State BoE",15,REP,Aaron Kinsey,894,37,678,179
Stephens,Precinct 2,"Member, State BoE",15,DEM,Morgan Kirkpatrick,92,1,63,28
Stephens,Precinct 2,"Member, State BoE",15,LIB,Jack B. Westbrook,29,0,19,10
Stephens,Precinct 2,"Member, State BoE",15,,Over Votes,0,0,0,0
Stephens,Precinct 2,"Member, State BoE",15,,Under Votes,45,0,29,16
Stephens,Precinct 2,State Senate,10,REP,Phil King,921,36,691,194
Stephens,Precinct 2,State Senate,10,DEM,Andy Morris,90,1,65,24
Stephens,Precinct 2,State Senate,10,,Over Votes,0,0,0,0
Stephens,Precinct 2,State Senate,10,,Under Votes,49,1,33,15
Stephens,Precinct 2,State Representative,60,REP,Mike Olcott,892,32,672,188
Stephens,Precinct 2,State Representative,60,,Over Votes,0,0,0,0
Stephens,Precinct 2,State Representative,60,,Under Votes,165,3,117,45
Stephens,Precinct 2,"Chief Justice, 11th Ct of App Dist",,REP,John Bailey,911,32,691,188
Stephens,Precinct 2,"Chief Justice, 11th Ct of App Dist",,,Over Votes,0,0,0,0
Stephens,Precinct 2,"Chief Justice, 11th Ct of App Dist",,,Under Votes,146,3,98,45
Stephens,Precinct 2,Dist Judge,90,REP,Phillip C. Gregory,900,31,684,185
Stephens,Precinct 2,Dist Judge,90,,Over Votes,0,0,0,0
Stephens,Precinct 2,Dist Judge,90,,Under Votes,157,4,105,48
Stephens,Precinct 2,Dist Attorney,90,REP,Dee Peavy,895,34,682,179
Stephens,Precinct 2,Dist Attorney,90,,Over Votes,0,0,0,0
Stephens,Precinct 2,Dist Attorney,90,,Under Votes,162,1,107,54
Stephens,Precinct 2,County Attorney,,REP,Gary Trammel,900,33,672,195
Stephens,Precinct 2,County Attorney,,,Over Votes,0,0,0,0
Stephens,Precinct 2,County Attorney,,,Under Votes,157,2,117,38
Stephens,Precinct 2,Sheriff,,REP,Kevin Roach,950,34,712,204
Stephens,Precinct 2,Sheriff,,,Over Votes,0,0,0,0
Stephens,Precinct 2,Sheriff,,,Under Votes,107,1,77,29
Stephens,Precinct 2,County Tax Assessor-Collector,,REP,Crystal Shook,917,33,692,192
Stephens,Precinct 2,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
Stephens,Precinct 2,County Tax Assessor-Collector,,,Under Votes,140,2,97,41
Stephens,Precinct 2,County Treasurer,,REP,Kelsey Cornwall,915,34,691,190
Stephens,Precinct 2,County Treasurer,,,Over Votes,0,0,0,0
Stephens,Precinct 2,County Treasurer,,,Under Votes,142,1,98,43
Stephens,Precinct 2,Constable,1,REP,Wayne McMullen,902,34,682,186
Stephens,Precinct 2,Constable,1,,Over Votes,0,0,0,0
Stephens,Precinct 2,Constable,1,,Under Votes,155,1,107,47
Stephens,Precinct 2,Creation of a County Assistance District,,,For,147,5,121,21
Stephens,Precinct 2,Creation of a County Assistance District,,,Against,300,15,233,52
Stephens,Precinct 2,Creation of a County Assistance District,,,Over Votes,0,0,0,0
Stephens,Precinct 2,Creation of a County Assistance District,,,Under Votes,37,1,27,9
Stephens,Precinct 3,Ballots Cast,,,,721,33,506,182
Stephens,Precinct 3,Ballots Cast Blank,,,,0,0,0,0
Stephens,Precinct 3,President,,REP,Donald J. Trump,631,24,447,160
Stephens,Precinct 3,President,,DEM,Kamala D. Harris,86,8,57,21
Stephens,Precinct 3,President,,LIB,Chase Oliver,0,0,0,0
Stephens,Precinct 3,President,,GRN,Jill Stein,1,0,1,0
Stephens,Precinct 3,President,,,Write-ins,0,0,0,0
Stephens,Precinct 3,President,,,Over Votes,0,0,0,0
Stephens,Precinct 3,President,,,Under Votes,3,1,1,1
Stephens,Precinct 3,U.S. Senate,,REP,Ted Cruz,595,23,422,150
Stephens,Precinct 3,U.S. Senate,,DEM,Colin Allred,98,9,67,22
Stephens,Precinct 3,U.S. Senate,,LIB,Ted Brown,16,0,8,8
Stephens,Precinct 3,U.S. Senate,,,Write-ins,0,0,0,0
Stephens,Precinct 3,U.S. Senate,,,Over Votes,0,0,0,0
Stephens,Precinct 3,U.S. Senate,,,Under Votes,12,1,9,2
Stephens,Precinct 3,U.S. House,25,REP,Roger Williams,634,28,454,152
Stephens,Precinct 3,U.S. House,25,,Over Votes,0,0,0,0
Stephens,Precinct 3,U.S. House,25,,Under Votes,87,5,52,30
Stephens,Precinct 3,Railroad Commissioner,,REP,Christi Craddick,603,22,433,148
Stephens,Precinct 3,Railroad Commissioner,,DEM,Katherine Culbert,69,9,47,14
Stephens,Precinct 3,Railroad Commissioner,,LIB,Hawk Dunlap,17,2,7,8
Stephens,Precinct 3,Railroad Commissioner,,GRN,Eddie Espinoza,9,0,6,3
Stephens,Precinct 3,Railroad Commissioner,,,Write-ins,2,0,1,1
Stephens,Precinct 3,Railroad Commissioner,,,Over Votes,0,0,0,0
Stephens,Precinct 3,Railroad Commissioner,,,Under Votes,21,1,12,8
Stephens,Precinct 3,"Justice, Supreme Court",2,REP,Jimmy Blacklock,617,23,440,154
Stephens,Precinct 3,"Justice, Supreme Court",2,DEM,DaSean Jones,82,9,55,18
Stephens,Precinct 3,"Justice, Supreme Court",2,,Over Votes,0,0,0,0
Stephens,Precinct 3,"Justice, Supreme Court",2,,Under Votes,22,1,11,10
Stephens,Precinct 3,"Justice, Supreme Court",4,REP,John Devine,613,23,436,154
Stephens,Precinct 3,"Justice, Supreme Court",4,DEM,Christine Vinh Weems,82,9,55,18
Stephens,Precinct 3,"Justice, Supreme Court",4,,Over Votes,0,0,0,0
Stephens,Precinct 3,"Justice, Supreme Court",4,,Under Votes,26,1,15,10
Stephens,Precinct 3,"Justice, Supreme Court",6,REP,Jane Bland,603,21,432,150
Stephens,Precinct 3,"Justice, Supreme Court",6,DEM,Bonnie Lee Goldstein,75,9,52,14
Stephens,Precinct 3,"Justice, Supreme Court",6,LIB,J. David Roberson,21,2,10,9
Stephens,Precinct 3,"Justice, Supreme Court",6,,Over Votes,0,0,0,0
Stephens,Precinct 3,"Justice, Supreme Court",6,,Under Votes,22,1,12,9
Stephens,Precinct 3,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,616,24,439,153
Stephens,Precinct 3,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,82,8,55,19
Stephens,Precinct 3,"Presiding Judge, Ct of Crim App",,,Over Votes,1,0,1,0
Stephens,Precinct 3,"Presiding Judge, Ct of Crim App",,,Under Votes,22,1,11,10
Stephens,Precinct 3,"Judge, Ct of Crim App",7,REP,Gina Parker,615,24,435,156
Stephens,Precinct 3,"Judge, Ct of Crim App",7,DEM,Nancy Mulder,78,8,54,16
Stephens,Precinct 3,"Judge, Ct of Crim App",7,,Over Votes,0,0,0,0
Stephens,Precinct 3,"Judge, Ct of Crim App",7,,Under Votes,28,1,17,10
Stephens,Precinct 3,"Judge, Ct of Crim App",8,REP,Lee Finley,620,24,441,155
Stephens,Precinct 3,"Judge, Ct of Crim App",8,DEM,Chika Anyiam,76,8,52,16
Stephens,Precinct 3,"Judge, Ct of Crim App",8,,Over Votes,0,0,0,0
Stephens,Precinct 3,"Judge, Ct of Crim App",8,,Under Votes,25,1,13,11
Stephens,Precinct 3,"Member, State BoE",15,REP,Aaron Kinsey,601,22,432,147
Stephens,Precinct 3,"Member, State BoE",15,DEM,Morgan Kirkpatrick,80,11,56,16
Stephens,Precinct 3,"Member, State BoE",15,LIB,Jack B. Westbrook,16,2,7,7
Stephens,Precinct 3,"Member, State BoE",15,,Over Votes,0,0,0,0
Stephens,Precinct 3,"Member, State BoE",15,,Under Votes,24,3,10,11
Stephens,Precinct 3,State Senate,10,REP,Phil King,617,24,436,157
Stephens,Precinct 3,State Senate,10,DEM,Andy Morris,79,8,57,14
Stephens,Precinct 3,State Senate,10,,Over Votes,0,0,0,0
Stephens,Precinct 3,State Senate,10,,Under Votes,25,1,13,11
Stephens,Precinct 3,State Representative,60,REP,Mike Olcott,620,22,443,155
Stephens,Precinct 3,State Representative,60,,Over Votes,0,0,0,0
Stephens,Precinct 3,State Representative,60,,Under Votes,98,8,63,27
Stephens,Precinct 3,"Chief Justice, 11th Ct of App Dist",,REP,John Bailey,620,23,447,150
Stephens,Precinct 3,"Chief Justice, 11th Ct of App Dist",,,Over Votes,0,0,0,0
Stephens,Precinct 3,"Chief Justice, 11th Ct of App Dist",,,Under Votes,103,7,65,31
Stephens,Precinct 3,Dist Judge,90,REP,Phillip C. Gregory,615,23,442,150
Stephens,Precinct 3,Dist Judge,90,,Over Votes,0,0,0,0
Stephens,Precinct 3,Dist Judge,90,,Under Votes,103,7,64,32
Stephens,Precinct 3,Dist Attorney,90,REP,Dee Peavy,615,23,441,151
Stephens,Precinct 3,Dist Attorney,90,,Over Votes,0,0,0,0
Stephens,Precinct 3,Dist Attorney,90,,Under Votes,103,7,65,31
Stephens,Precinct 3,County Attorney,,REP,Gary Trammel,623,25,440,158
Stephens,Precinct 3,County Attorney,,,Over Votes,0,0,0,0
Stephens,Precinct 3,County Attorney,,,Under Votes,95,5,66,24
Stephens,Precinct 3,Sheriff,,REP,Kevin Roach,645,25,460,160
Stephens,Precinct 3,Sheriff,,,Over Votes,0,0,0,0
Stephens,Precinct 3,Sheriff,,,Under Votes,73,2,46,25
Stephens,Precinct 3,County Tax Assessor-Collector,,REP,Crystal Shook,608,21,447,140
Stephens,Precinct 3,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
Stephens,Precinct 3,County Tax Assessor-Collector,,,Under Votes,105,2,70,33
Stephens,Precinct 3,County Treasurer,,REP,Kelsey Cornwall,608,21,449,138
Stephens,Precinct 3,County Treasurer,,,Over Votes,0,0,0,0
Stephens,Precinct 3,County Treasurer,,,Under Votes,105,2,68,35
Stephens,Precinct 3,County Commissioner,1,REP,David Fambro,543,19,395,129
Stephens,Precinct 3,County Commissioner,1,,Write-ins,85,2,65,18
Stephens,Precinct 3,County Commissioner,1,,Over Votes,0,0,0,0
Stephens,Precinct 3,County Commissioner,1,,Under Votes,85,2,57,26
Stephens,Precinct 3,Constable,1,REP,Wayne McMullen,597,20,444,133
Stephens,Precinct 3,Constable,1,,Over Votes,0,0,0,0
Stephens,Precinct 3,Constable,1,,Under Votes,116,3,73,40
Stephens,Precinct 3,Creation of a County Assistance District,,,For,85,5,59,21
Stephens,Precinct 3,Creation of a County Assistance District,,,Against,192,6,143,43
Stephens,Precinct 3,Creation of a County Assistance District,,,Over Votes,0,0,0,0
Stephens,Precinct 3,Creation of a County Assistance District,,,Under Votes,22,0,16,6
Stephens,Precinct 4,Ballots Cast,,,,1032,34,795,203
Stephens,Precinct 4,Ballots Cast Blank,,,,1,0,1,0
Stephens,Precinct 4,President,,REP,Donald J. Trump,923,27,720,176
Stephens,Precinct 4,President,,DEM,Kamala D. Harris,104,7,70,27
Stephens,Precinct 4,President,,LIB,Chase Oliver,1,0,1,0
Stephens,Precinct 4,President,,GRN,Jill Stein,1,0,1,0
Stephens,Precinct 4,President,,,Write-ins,1,0,1,0
Stephens,Precinct 4,President,,,Over Votes,0,0,0,0
Stephens,Precinct 4,President,,,Under Votes,2,0,2,0
Stephens,Precinct 4,U.S. Senate,,REP,Ted Cruz,884,27,693,164
Stephens,Precinct 4,U.S. Senate,,DEM,Colin Allred,121,6,84,31
Stephens,Precinct 4,U.S. Senate,,LIB,Ted Brown,11,0,9,2
Stephens,Precinct 4,U.S. Senate,,,Write-ins,2,0,2,0
Stephens,Precinct 4,U.S. Senate,,,Over Votes,0,0,0,0
Stephens,Precinct 4,U.S. Senate,,,Under Votes,14,1,7,6
Stephens,Precinct 4,U.S. House,25,REP,Roger Williams,894,28,696,170
