county,precinct,office,district,party,candidate,votes,absentee,early,election_day,provisional
Lamar,1E,U.S. Senate,,DEM,Colin Allred,71,5,40,26,0
Lamar,1F,U.S. Senate,,DEM,Colin Allred,120,11,59,50,0
Lamar,1H,U.S. Senate,,DEM,Colin Allred,46,1,32,13,0
Lamar,1I,U.S. Senate,,DEM,Colin Allred,31,5,21,5,0
Lamar,2A1A,U.S. Senate,,DEM,Colin Allred,326,20,235,71,0
Lamar,2C3A,U.S. Senate,,DEM,Colin Allred,730,35,528,167,0
Lamar,2D,U.S. Senate,,DEM,Colin Allred,85,3,39,43,0
Lamar,2E,U.S. Senate,,DEM,Colin Allred,73,1,51,21,0
Lamar,2F,U.S. Senate,,DEM,Colin Allred,19,1,10,8,0
Lamar,2G,U.S. Senate,,DEM,Colin Allred,88,7,55,26,0
Lamar,3C7G,U.S. Senate,,DEM,Colin Allred,468,26,338,104,0
Lamar,3D,U.S. Senate,,DEM,Colin Allred,70,9,47,14,0
Lamar,3E,U.S. Senate,,DEM,Colin Allred,71,8,43,20,0
Lamar,3F,U.S. Senate,,DEM,Colin Allred,40,4,24,12,0
Lamar,3G,U.S. Senate,,DEM,Colin Allred,53,4,33,16,0
Lamar,3H3C,U.S. Senate,,DEM,Colin Allred,139,7,111,21,0
Lamar,3I,U.S. Senate,,DEM,Colin Allred,135,10,97,28,0
Lamar,4A6E,U.S. Senate,,DEM,Colin Allred,249,15,179,55,0
Lamar,4B,U.S. Senate,,DEM,Colin Allred,153,15,96,42,0
Lamar,4D,U.S. Senate,,DEM,Colin Allred,107,2,73,32,0
Lamar,4E,U.S. Senate,,DEM,Colin Allred,97,4,53,40,0
Lamar,4F,U.S. Senate,,DEM,Colin Allred,203,13,131,59,0
Lamar,4G,U.S. Senate,,DEM,Colin Allred,159,8,128,23,0
Lamar,1A3B,U.S. Senate,,LIB,Ted Brown,47,1,34,12,0
Lamar,1A5A,U.S. Senate,,LIB,Ted Brown,16,0,13,3,0
Lamar,1C,U.S. Senate,,LIB,Ted Brown,5,0,4,1,0
Lamar,1E,U.S. Senate,,LIB,Ted Brown,6,0,2,4,0
Lamar,1F,U.S. Senate,,LIB,Ted Brown,13,0,7,6,0
Lamar,1H,U.S. Senate,,LIB,Ted Brown,5,0,2,3,0
Lamar,1I,U.S. Senate,,LIB,Ted Brown,2,0,2,0,0
Lamar,2A1A,U.S. Senate,,LIB,Ted Brown,7,0,6,1,0
Lamar,2C3A,U.S. Senate,,LIB,Ted Brown,34,1,20,13,0
Lamar,2D,U.S. Senate,,LIB,Ted Brown,3,0,3,0,0
Lamar,2E,U.S. Senate,,LIB,Ted Brown,5,1,2,2,0
Lamar,2F,U.S. Senate,,LIB,Ted Brown,1,0,0,1,0
Lamar,2G,U.S. Senate,,LIB,Ted Brown,4,0,4,0,0
Lamar,3C7G,U.S. Senate,,LIB,Ted Brown,21,3,12,6,0
Lamar,3D,U.S. Senate,,LIB,Ted Brown,9,0,5,4,0
Lamar,3E,U.S. Senate,,LIB,Ted Brown,11,0,9,2,0
Lamar,3F,U.S. Senate,,LIB,Ted Brown,6,0,3,3,0
Lamar,3G,U.S. Senate,,LIB,Ted Brown,6,0,3,3,0
Lamar,3H3C,U.S. Senate,,LIB,Ted Brown,4,0,2,2,0
Lamar,3I,U.S. Senate,,LIB,Ted Brown,20,0,11,9,0
Lamar,4A6E,U.S. Senate,,LIB,Ted Brown,16,0,12,4,0
Lamar,4B,U.S. Senate,,LIB,Ted Brown,23,1,10,12,0
Lamar,4D,U.S. Senate,,LIB,Ted Brown,15,0,4,11,0
Lamar,4E,U.S. Senate,,LIB,Ted Brown,9,2,3,4,0
Lamar,4F,U.S. Senate,,LIB,Ted Brown,13,0,10,3,0
Lamar,4G,U.S. Senate,,LIB,Ted Brown,7,0,6,1,0
Lamar,1A3B,U.S. Senate,,REP,Ted Cruz,1882,75,1509,298,0
Lamar,1A5A,U.S. Senate,,REP,Ted Cruz,239,10,185,44,0
Lamar,1C,U.S. Senate,,REP,Ted Cruz,233,5,186,42,0
Lamar,1E,U.S. Senate,,REP,Ted Cruz,503,9,340,154,0
Lamar,1F,U.S. Senate,,REP,Ted Cruz,856,25,573,258,0
Lamar,1H,U.S. Senate,,REP,Ted Cruz,430,7,313,110,0
Lamar,1I,U.S. Senate,,REP,Ted Cruz,234,7,164,63,0
Lamar,2A1A,U.S. Senate,,REP,Ted Cruz,170,8,125,37,0
Lamar,2C3A,U.S. Senate,,REP,Ted Cruz,824,20,617,187,0
Lamar,2D,U.S. Senate,,REP,Ted Cruz,370,9,216,145,0
Lamar,2E,U.S. Senate,,REP,Ted Cruz,404,7,270,127,0
Lamar,2F,U.S. Senate,,REP,Ted Cruz,146,1,65,80,0
Lamar,2G,U.S. Senate,,REP,Ted Cruz,396,3,290,103,0
Lamar,3C7G,U.S. Senate,,REP,Ted Cruz,810,43,629,138,0
Lamar,3D,U.S. Senate,,REP,Ted Cruz,511,12,323,176,0
Lamar,3E,U.S. Senate,,REP,Ted Cruz,883,15,664,204,0
Lamar,3F,U.S. Senate,,REP,Ted Cruz,412,5,262,145,0
Lamar,3G,U.S. Senate,,REP,Ted Cruz,400,9,290,101,0
Lamar,3H3C,U.S. Senate,,REP,Ted Cruz,376,19,298,59,0
Lamar,3I,U.S. Senate,,REP,Ted Cruz,827,20,670,137,0
Lamar,4A6E,U.S. Senate,,REP,Ted Cruz,736,26,602,108,0
Lamar,4B,U.S. Senate,,REP,Ted Cruz,1090,17,761,312,0
Lamar,4D,U.S. Senate,,REP,Ted Cruz,1072,21,762,289,0
Lamar,4E,U.S. Senate,,REP,Ted Cruz,750,14,548,188,0
Lamar,4F,U.S. Senate,,REP,Ted Cruz,1029,23,807,199,0
Lamar,4G,U.S. Senate,,REP,Ted Cruz,871,27,696,148,0
Lamar,1A3B,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,1A5A,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,1C,U.S. Senate,,,Write-in,1,1,0,0,0
Lamar,1E,U.S. Senate,,,Write-in,1,0,0,1,0
Lamar,1F,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,1H,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,1I,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,2A1A,U.S. Senate,,,Write-in,1,0,0,1,0
Lamar,2C3A,U.S. Senate,,,Write-in,2,1,1,0,0
Lamar,2D,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,2E,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,2F,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,2G,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,3C7G,U.S. Senate,,,Write-in,2,1,0,1,0
Lamar,3D,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,3E,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,3F,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,3G,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,3H3C,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,3I,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,4A6E,U.S. Senate,,,Write-in,2,0,1,1,0
Lamar,4B,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,4D,U.S. Senate,,,Write-in,2,0,1,1,0
Lamar,4E,U.S. Senate,,,Write-in,0,0,0,0,0
Lamar,4F,U.S. Senate,,,Write-in,2,0,1,1,0
Lamar,4G,U.S. Senate,,,Write-in,1,0,1,0,0
