county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
Bowie,1A,Registered Voters,,,,1437,,,,
Bowie,1A,Ballots Cast,,,,446,25,273,147,1
Bowie,1A,Ballots Cast Blank,,,,0,0,0,0,0
Bowie,1A,President,,REP,Donald J. Trump,82,4,47,31,0
Bowie,1A,President,,DEM,Kamala D. Harris,356,21,222,112,1
Bowie,1A,President,,LIB,Chase Oliver,4,0,2,2,0
Bowie,1A,President,,GRN,Jill Stein,1,0,1,0,0
Bowie,1A,President,,,Cornel West/Melina Abdullah,1,0,1,0,0
Bowie,1A,President,,,Claudia De la Cruz/Karina Garcia,0,0,0,0,0
Bowie,1A,President,,,Peter Sonski/Lauren Onak,0,0,0,0,0
Bowie,1A,President,,,Uncertified,0,0,0,0,0
Bowie,1A,President,,,Shiva Ayyadurai/Crystal Ellis,0,0,0,0,0
Bowie,1A,President,,,Not Assigned,1,0,0,1,0
Bowie,1A,President,,,Over Votes,0,0,0,0,0
Bowie,1A,President,,,Under Votes,1,0,0,1,0
Bowie,1A,U.S. Senate,,REP,Ted Cruz,71,4,45,22,0
Bowie,1A,U.S. Senate,,DEM,Colin Allred,346,21,214,110,1
Bowie,1A,U.S. Senate,,LIB,Ted Brown,14,0,6,8,0
Bowie,1A,U.S. Senate,,,Tracy Andrus,0,0,0,0,0
Bowie,1A,U.S. Senate,,,Analisa Roche,0,0,0,0,0
Bowie,1A,U.S. Senate,,,Uncertified,0,0,0,0,0
Bowie,1A,U.S. Senate,,,Not Assigned,0,0,0,0,0
Bowie,1A,U.S. Senate,,,Over Votes,0,0,0,0,0
Bowie,1A,U.S. Senate,,,Under Votes,15,0,8,7,0
Bowie,1A,U.S. House,1,REP,Nathaniel Moran,145,8,81,56,0
Bowie,1A,U.S. House,1,,Over Votes,0,0,0,0,0
Bowie,1A,U.S. House,1,,Under Votes,301,17,192,91,1
Bowie,1A,Railroad Commissioner,,REP,Christi Craddick,69,4,42,23,0
Bowie,1A,Railroad Commissioner,,DEM,Katherine Culbert,339,21,206,111,1
Bowie,1A,Railroad Commissioner,,LIB,Hawk Dunlap,6,0,3,3,0
Bowie,1A,Railroad Commissioner,,GRN,Eddie Espinoza,6,0,4,2,0
Bowie,1A,Railroad Commissioner,,,Richard McKibbin,0,0,0,0,0
Bowie,1A,Railroad Commissioner,,,Uncertified,0,0,0,0,0
Bowie,1A,Railroad Commissioner,,,Not Assigned,0,0,0,0,0
Bowie,1A,Railroad Commissioner,,,Over Votes,0,0,0,0,0
Bowie,1A,Railroad Commissioner,,,Under Votes,26,0,18,8,0
Bowie,1A,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,81,4,49,28,0
Bowie,1A,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,337,21,206,109,1
Bowie,1A,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0,0
Bowie,1A,"Justice, Supreme Court, Pl 2",,,Under Votes,28,0,18,10,0
Bowie,1A,"Justice, Supreme Court, Pl 4",,REP,John Devine,77,4,48,25,0
Bowie,1A,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,338,21,208,108,1
Bowie,1A,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0,0
Bowie,1A,"Justice, Supreme Court, Pl 4",,,Under Votes,31,0,17,14,0
Bowie,1A,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,78,3,48,27,0
Bowie,1A,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,328,22,203,102,1
Bowie,1A,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,11,0,7,4,0
Bowie,1A,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0,0
Bowie,1A,"Justice, Supreme Court, Pl 6",,,Under Votes,29,0,15,14,0
Bowie,1A,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,72,4,46,22,0
Bowie,1A,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,343,21,210,111,1
Bowie,1A,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0,0
Bowie,1A,"Presiding Judge, Ct of Crim App",,,Under Votes,31,0,17,14,0
Bowie,1A,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,76,4,47,25,0
Bowie,1A,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,339,21,212,105,1
Bowie,1A,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0,0
Bowie,1A,"Judge, Ct of Crim App, Pl 7",,,Under Votes,31,0,14,17,0
Bowie,1A,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,79,3,49,27,0
Bowie,1A,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,335,21,209,104,1
Bowie,1A,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0,0
Bowie,1A,"Judge, Ct of Crim App, Pl 8",,,Under Votes,32,1,15,16,0
Bowie,1A,"Member, State BoE, Dist 12",,REP,Pam Little,79,4,50,25,0
Bowie,1A,"Member, State BoE, Dist 12",,DEM,George King,331,21,202,107,1
Bowie,1A,"Member, State BoE, Dist 12",,,Over Votes,0,0,0,0,0
Bowie,1A,"Member, State BoE, Dist 12",,,Under Votes,36,0,21,15,0
Bowie,1A,State Representative,1,REP,Gary VanDeaver,165,8,94,63,0
Bowie,1A,State Representative,1,,Over Votes,0,0,0,0,0
Bowie,1A,State Representative,1,,Under Votes,281,17,179,84,1
Bowie,1A,"Justice, 6th Ct of App Dist, Pl 2",,REP,Jeff Rambin,146,6,83,57,0
Bowie,1A,"Justice, 6th Ct of App Dist, Pl 2",,,Over Votes,0,0,0,0,0
