county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Washington,PRECINCT 101,"Registered Voters",,,,1356,,,
Washington,PRECINCT 101,"Ballots Cast",,,,932,28,613,291
Washington,PRECINCT 101,"Ballots Cast Blank",,,,0,0,0,0
Washington,PRECINCT 101,"President",,REP,"Donald J. Trump/JD Vance",637,14,445,178
Washington,PRECINCT 101,"President",,DEM,"Kamala D. Harris/Tim Walz",281,14,158,109
Washington,PRECINCT 101,"President",,LIB,"Chase Oliver/Mike ter Maat",4,0,3,1
Washington,PRECINCT 101,"President",,GRN,"Jill Stein/Rudolph Ware",2,0,2,0
Washington,PRECINCT 101,"President",,,"Write-ins",4,0,4,0
Washington,PRECINCT 101,"President",,,"Over Votes",0,0,0,0
Washington,PRECINCT 101,"President",,,"Under Votes",4,0,1,3
Washington,PRECINCT 101,"U.S. Senate",,REP,"Ted Cruz",634,14,440,180
Washington,PRECINCT 101,"U.S. Senate",,DEM,"Colin Allred",281,14,160,107
Washington,PRECINCT 101,"U.S. Senate",,LIB,"Ted Brown",12,0,9,3
Washington,PRECINCT 101,"U.S. Senate",,,"Write-ins",1,0,1,0
Washington,PRECINCT 101,"U.S. Senate",,,"Over Votes",0,0,0,0
Washington,PRECINCT 101,"U.S. Senate",,,"Under Votes",4,0,3,1
Washington,PRECINCT 101,"U.S. House",10,REP,"Michael McCaul",646,14,450,182
Washington,PRECINCT 101,"U.S. House",10,DEM,"Theresa Boisseau",259,14,143,102
Washington,PRECINCT 101,"U.S. House",10,LIB,"Jeff Miller",14,0,10,4
Washington,PRECINCT 101,"U.S. House",10,,"Over Votes",0,0,0,0
Washington,PRECINCT 101,"U.S. House",10,,"Under Votes",13,0,10,3
Washington,PRECINCT 101,"Railroad Commissioner",,REP,"Christi Craddick",625,14,439,172
Washington,PRECINCT 101,"Railroad Commissioner",,DEM,"Katherine Culbert",264,13,147,104
Washington,PRECINCT 101,"Railroad Commissioner",,LIB,"Hawk Dunlap",21,0,13,8
Washington,PRECINCT 101,"Railroad Commissioner",,GRN,"Eddie Espinoza",3,0,3,0
Washington,PRECINCT 101,"Railroad Commissioner",,,"Write-ins",1,0,1,0
Washington,PRECINCT 101,"Railroad Commissioner",,,"Over Votes",0,0,0,0
Washington,PRECINCT 101,"Railroad Commissioner",,,"Under Votes",18,1,10,7
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 2,REP,"Jimmy Blacklock",647,14,451,182
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 2,DEM,"DaSean Jones",263,13,148,102
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 2,,"Over Votes",0,0,0,0
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 2,,"Under Votes",22,1,14,7
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 4,REP,"John Devine",645,14,450,181
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 4,DEM,"Christine Vinh Weems",260,13,149,98
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 4,,"Over Votes",0,0,0,0
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 4,,"Under Votes",27,1,14,12
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 6,REP,"Jane Bland",629,14,439,176
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 6,DEM,"Bonnie Lee Goldstein",262,13,145,104
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 6,LIB,"J. David Roberson",17,0,13,4
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 6,,"Over Votes",1,0,1,0
Washington,PRECINCT 101,"Justice, Supreme Court",Pl 6,,"Under Votes",23,1,15,7
Washington,PRECINCT 101,"Presiding Judge, Ct of Crim App",,REP,"David J. Schenck",644,13,451,180
Washington,PRECINCT 101,"Presiding Judge, Ct of Crim App",,DEM,"Holly Taylor",264,14,150,100
Washington,PRECINCT 101,"Presiding Judge, Ct of Crim App",,,"Over Votes",0,0,0,0
Washington,PRECINCT 101,"Presiding Judge, Ct of Crim App",,,"Under Votes",24,1,12,11
Washington,PRECINCT 101,"Judge, Ct of Crim App",Pl 7,REP,"Gina Parker",623,12,441,170
Washington,PRECINCT 101,"Judge, Ct of Crim App",Pl 7,DEM,"Nancy Mulder",262,14,145,103
Washington,PRECINCT 101,"Judge, Ct of Crim App",Pl 7,,"Over Votes",0,0,0,0
Washington,PRECINCT 101,"Judge, Ct of Crim App",Pl 7,,"Under Votes",47,2,27,18
Washington,PRECINCT 101,"Judge, Ct of Crim App",Pl 8,REP,"Lee Finley",646,14,452,180
Washington,PRECINCT 101,"Judge, Ct of Crim App",Pl 8,DEM,"Chika Anyiam",261,13,148,100
