county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Bastrop,Precinct 1001,Registered Voters,,,,,,,396
Bastrop,Precinct 1001,Ballots Cast,,,,10,249,47,306
Bastrop,Precinct 1002,Registered Voters,,,,,,,743
Bastrop,Precinct 1002,Ballots Cast,,,,28,482,76,586
Bastrop,Precinct 1003,Registered Voters,,,,,,,2864
Bastrop,Precinct 1003,Ballots Cast,,,,61,1729,349,2139
Bastrop,Precinct 1004,Registered Voters,,,,,,,2397
Bastrop,Precinct 1004,Ballots Cast,,,,78,1235,227,1540
Bastrop,Precinct 1005,Registered Voters,,,,,,,1222
Bastrop,Precinct 1005,Ballots Cast,,,,56,664,127,847
Bastrop,Precinct 1006,Registered Voters,,,,,,,2944
Bastrop,Precinct 1006,Ballots Cast,,,,62,1023,417,1502
Bastrop,Precinct 1007,Registered Voters,,,,,,,3340
Bastrop,Precinct 1007,Ballots Cast,,,,80,2082,393,2555
Bastrop,Precinct 1008,Registered Voters,,,,,,,1764
Bastrop,Precinct 1008,Ballots Cast,,,,56,1044,193,1293
Bastrop,Precinct 1009,Registered Voters,,,,,,,2315
Bastrop,Precinct 1009,Ballots Cast,,,,40,1044,299,1383
Bastrop,Precinct 2010,Registered Voters,,,,,,,719
Bastrop,Precinct 2010,Ballots Cast,,,,16,335,70,421
Bastrop,Precinct 2011,Registered Voters,,,,,,,2902
Bastrop,Precinct 2011,Ballots Cast,,,,55,1540,378,1973
Bastrop,Precinct 2012,Registered Voters,,,,,,,1755
Bastrop,Precinct 2012,Ballots Cast,,,,51,1110,191,1352
Bastrop,Precinct 2013,Registered Voters,,,,,,,3312
Bastrop,Precinct 2013,Ballots Cast,,,,85,1749,410,2244
Bastrop,Precinct 2014,Registered Voters,,,,,,,3298
Bastrop,Precinct 2014,Ballots Cast,,,,86,1663,495,2244
Bastrop,Precinct 2015,Registered Voters,,,,,,,3197
Bastrop,Precinct 2015,Ballots Cast,,,,79,1769,372,2220
Bastrop,Precinct 2016,Registered Voters,,,,,,,2886
Bastrop,Precinct 2016,Ballots Cast,,,,50,1684,407,2141
Bastrop,Precinct 3017,Registered Voters,,,,,,,2908
Bastrop,Precinct 3017,Ballots Cast,,,,85,1490,355,1930
Bastrop,Precinct 3018,Registered Voters,,,,,,,1726
Bastrop,Precinct 3018,Ballots Cast,,,,36,820,368,1224
Bastrop,Precinct 3019,Registered Voters,,,,,,,2986
Bastrop,Precinct 3019,Ballots Cast,,,,41,1182,324,1547
Bastrop,Precinct 3020,Registered Voters,,,,,,,3731
Bastrop,Precinct 3020,Ballots Cast,,,,53,1332,423,1808
Bastrop,Precinct 4021,Registered Voters,,,,,,,2910
Bastrop,Precinct 4021,Ballots Cast,,,,67,1347,380,1794
Bastrop,Precinct 4022,Registered Voters,,,,,,,2647
Bastrop,Precinct 4022,Ballots Cast,,,,52,1372,296,1720
Bastrop,Precinct 4023,Registered Voters,,,,,,,1548
Bastrop,Precinct 4023,Ballots Cast,,,,36,687,315,1038
Bastrop,Precinct 4024,Registered Voters,,,,,,,1872
Bastrop,Precinct 4024,Ballots Cast,,,,28,944,238,1210
Bastrop,Precinct 4025,Registered Voters,,,,,,,2497
Bastrop,Precinct 4025,Ballots Cast,,,,51,1035,292,1378
Bastrop,Precinct 4026,Registered Voters,,,,,,,2544
Bastrop,Precinct 4026,Ballots Cast,,,,29,1282,323,1634
Bastrop,Precinct 1001,President,,REP,Donald J. Trump/JD Vance,5,157,40,202
Bastrop,Precinct 1001,President,,DEM,Kamala D. Harris/Tim Walz,5,87,7,99
Bastrop,Precinct 1001,President,,LIB,Chase Oliver/Mike ter Maat,0,2,0,2
Bastrop,Precinct 1001,President,,GRN,Jill Stein/Rudolph Ware,0,2,0,2
Bastrop,Precinct 1001,President,,,Write-in,0,1,0,1
Bastrop,Precinct 1002,President,,REP,Donald J. Trump/JD Vance,11,273,52,336
Bastrop,Precinct 1002,President,,DEM,Kamala D. Harris/Tim Walz,17,199,21,237
Bastrop,Precinct 1002,President,,LIB,Chase Oliver/Mike ter Maat,0,8,2,10
Bastrop,Precinct 1002,President,,GRN,Jill Stein/Rudolph Ware,0,1,0,1
Bastrop,Precinct 1002,President,,,Write-in,0,1,1,2
Bastrop,Precinct 1003,President,,REP,Donald J. Trump/JD Vance,21,1081,230,1332
Bastrop,Precinct 1003,President,,DEM,Kamala D. Harris/Tim Walz,39,618,112,769
Bastrop,Precinct 1003,President,,LIB,Chase Oliver/Mike ter Maat,1,11,5,17
Bastrop,Precinct 1003,President,,GRN,Jill Stein/Rudolph Ware,0,8,0,8
Bastrop,Precinct 1003,President,,,Write-in,0,4,1,5
Bastrop,Precinct 1004,President,,REP,Donald J. Trump/JD Vance,19,592,109,720
Bastrop,Precinct 1004,President,,DEM,Kamala D. Harris/Tim Walz,58,617,102,777
Bastrop,Precinct 1004,President,,LIB,Chase Oliver/Mike ter Maat,0,7,6,13
Bastrop,Precinct 1004,President,,GRN,Jill Stein/Rudolph Ware,1,7,7,15
Bastrop,Precinct 1004,President,,,Write-in,0,4,1,5
Bastrop,Precinct 1005,President,,REP,Donald J. Trump/JD Vance,18,420,79,517
Bastrop,Precinct 1005,President,,DEM,Kamala D. Harris/Tim Walz,36,237,39,312
Bastrop,Precinct 1005,President,,LIB,Chase Oliver/Mike ter Maat,0,1,5,6
Bastrop,Precinct 1005,President,,GRN,Jill Stein/Rudolph Ware,0,2,0,2
Bastrop,Precinct 1005,President,,,Write-in,0,2,4,6
Bastrop,Precinct 1006,President,,REP,Donald J. Trump/JD Vance,28,581,250,859
Bastrop,Precinct 1006,President,,DEM,Kamala D. Harris/Tim Walz,34,429,156,619
Bastrop,Precinct 1006,President,,LIB,Chase Oliver/Mike ter Maat,0,3,4,7
Bastrop,Precinct 1006,President,,GRN,Jill Stein/Rudolph Ware,0,6,4,10
Bastrop,Precinct 1006,President,,,Write-in,0,3,3,6
Bastrop,Precinct 1007,President,,REP,Donald J. Trump/JD Vance,33,1223,241,1497
Bastrop,Precinct 1007,President,,DEM,Kamala D. Harris/Tim Walz,45,823,133,1001
Bastrop,Precinct 1007,President,,LIB,Chase Oliver/Mike ter Maat,0,14,6,20
Bastrop,Precinct 1007,President,,GRN,Jill Stein/Rudolph Ware,0,9,6,15
Bastrop,Precinct 1007,President,,,Write-in,1,7,3,11
Bastrop,Precinct 1008,President,,REP,Donald J. Trump/JD Vance,16,535,111,662
Bastrop,Precinct 1008,President,,DEM,Kamala D. Harris/Tim Walz,38,493,76,607
Bastrop,Precinct 1008,President,,LIB,Chase Oliver/Mike ter Maat,2,10,4,16
Bastrop,Precinct 1008,President,,GRN,Jill Stein/Rudolph Ware,0,2,2,4
Bastrop,Precinct 1008,President,,,Write-in,0,4,0,4
