county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Bastrop,Precinct 1009,President,,REP,Donald J. Trump/JD Vance,18,577,174,769
Bastrop,Precinct 1009,President,,DEM,Kamala D. Harris/Tim Walz,21,448,119,588
Bastrop,Precinct 1009,President,,LIB,Chase Oliver/Mike ter Maat,1,2,1,4
Bastrop,Precinct 1009,President,,GRN,Jill Stein/Rudolph Ware,0,8,1,9
Bastrop,Precinct 1009,President,,,Write-in,0,8,0,8
Bastrop,Precinct 2010,President,,REP,Donald J. Trump/JD Vance,9,194,37,240
Bastrop,Precinct 2010,President,,DEM,Kamala D. Harris/Tim Walz,7,136,29,172
Bastrop,Precinct 2010,President,,LIB,Chase Oliver/Mike ter Maat,0,1,2,3
Bastrop,Precinct 2010,President,,GRN,Jill Stein/Rudolph Ware,0,3,1,4
Bastrop,Precinct 2010,President,,,Write-in,0,0,1,1
Bastrop,Precinct 2011,President,,REP,Donald J. Trump/JD Vance,24,848,229,1101
Bastrop,Precinct 2011,President,,DEM,Kamala D. Harris/Tim Walz,31,674,135,840
Bastrop,Precinct 2011,President,,LIB,Chase Oliver/Mike ter Maat,0,5,7,12
Bastrop,Precinct 2011,President,,GRN,Jill Stein/Rudolph Ware,0,4,5,9
Bastrop,Precinct 2011,President,,,Write-in,0,4,2,6
Bastrop,Precinct 2012,President,,REP,Donald J. Trump/JD Vance,23,757,124,904
Bastrop,Precinct 2012,President,,DEM,Kamala D. Harris/Tim Walz,27,329,60,416
Bastrop,Precinct 2012,President,,LIB,Chase Oliver/Mike ter Maat,0,7,5,12
Bastrop,Precinct 2012,President,,GRN,Jill Stein/Rudolph Ware,0,3,0,3
Bastrop,Precinct 2012,President,,,Write-in,0,6,1,7
Bastrop,Precinct 2013,President,,REP,Donald J. Trump/JD Vance,36,1096,270,1402
Bastrop,Precinct 2013,President,,DEM,Kamala D. Harris/Tim Walz,49,633,127,809
Bastrop,Precinct 2013,President,,LIB,Chase Oliver/Mike ter Maat,0,7,9,16
Bastrop,Precinct 2013,President,,GRN,Jill Stein/Rudolph Ware,0,7,2,9
Bastrop,Precinct 2013,President,,,Write-in,0,3,2,5
Bastrop,Precinct 2014,President,,REP,Donald J. Trump/JD Vance,36,1128,347,1511
Bastrop,Precinct 2014,President,,DEM,Kamala D. Harris/Tim Walz,50,516,128,694
Bastrop,Precinct 2014,President,,LIB,Chase Oliver/Mike ter Maat,0,8,6,14
Bastrop,Precinct 2014,President,,GRN,Jill Stein/Rudolph Ware,0,5,4,9
Bastrop,Precinct 2014,President,,,Write-in,0,2,7,9
Bastrop,Precinct 2015,President,,REP,Donald J. Trump/JD Vance,31,1143,223,1397
Bastrop,Precinct 2015,President,,DEM,Kamala D. Harris/Tim Walz,48,603,139,790
Bastrop,Precinct 2015,President,,LIB,Chase Oliver/Mike ter Maat,0,7,3,10
Bastrop,Precinct 2015,President,,GRN,Jill Stein/Rudolph Ware,0,5,5,10
Bastrop,Precinct 2015,President,,,Write-in,0,4,1,5
Bastrop,Precinct 2016,President,,REP,Donald J. Trump/JD Vance,19,1285,287,1591
Bastrop,Precinct 2016,President,,DEM,Kamala D. Harris/Tim Walz,31,381,108,520
Bastrop,Precinct 2016,President,,LIB,Chase Oliver/Mike ter Maat,0,11,6,17
Bastrop,Precinct 2016,President,,GRN,Jill Stein/Rudolph Ware,0,4,3,7
Bastrop,Precinct 2016,President,,,Write-in,0,2,3,5
Bastrop,Precinct 3017,President,,REP,Donald J. Trump/JD Vance,35,936,221,1192
Bastrop,Precinct 3017,President,,DEM,Kamala D. Harris/Tim Walz,48,528,126,702
Bastrop,Precinct 3017,President,,LIB,Chase Oliver/Mike ter Maat,0,9,5,14
Bastrop,Precinct 3017,President,,GRN,Jill Stein/Rudolph Ware,0,8,0,8
Bastrop,Precinct 3017,President,,,Write-in,0,5,2,7
Bastrop,Precinct 3018,President,,REP,Donald J. Trump/JD Vance,14,573,279,866
Bastrop,Precinct 3018,President,,DEM,Kamala D. Harris/Tim Walz,22,238,83,343
Bastrop,Precinct 3018,President,,LIB,Chase Oliver/Mike ter Maat,0,4,3,7
Bastrop,Precinct 3018,President,,GRN,Jill Stein/Rudolph Ware,0,1,3,4
Bastrop,Precinct 3018,President,,,Write-in,0,2,0,2
Bastrop,Precinct 3019,President,,REP,Donald J. Trump/JD Vance,9,650,173,832
Bastrop,Precinct 3019,President,,DEM,Kamala D. Harris/Tim Walz,31,514,145,690
Bastrop,Precinct 3019,President,,LIB,Chase Oliver/Mike ter Maat,0,9,1,10
Bastrop,Precinct 3019,President,,GRN,Jill Stein/Rudolph Ware,1,6,3,10
Bastrop,Precinct 3019,President,,,Write-in,0,1,1,2
Bastrop,Precinct 3020,President,,REP,Donald J. Trump/JD Vance,15,585,182,782
Bastrop,Precinct 3020,President,,DEM,Kamala D. Harris/Tim Walz,38,727,231,996
Bastrop,Precinct 3020,President,,LIB,Chase Oliver/Mike ter Maat,0,4,3,7
Bastrop,Precinct 3020,President,,GRN,Jill Stein/Rudolph Ware,0,9,5,14
Bastrop,Precinct 3020,President,,,Write-in,0,3,1,4
Bastrop,Precinct 4021,President,,REP,Donald J. Trump/JD Vance,29,754,213,996
Bastrop,Precinct 4021,President,,DEM,Kamala D. Harris/Tim Walz,38,570,153,761
Bastrop,Precinct 4021,President,,LIB,Chase Oliver/Mike ter Maat,0,11,4,15
Bastrop,Precinct 4021,President,,GRN,Jill Stein/Rudolph Ware,0,8,7,15
Bastrop,Precinct 4021,President,,,Write-in,0,2,2,4
Bastrop,Precinct 4022,President,,REP,Donald J. Trump/JD Vance,21,812,145,978
Bastrop,Precinct 4022,President,,DEM,Kamala D. Harris/Tim Walz,30,540,144,714
Bastrop,Precinct 4022,President,,LIB,Chase Oliver/Mike ter Maat,0,8,6,14
Bastrop,Precinct 4022,President,,GRN,Jill Stein/Rudolph Ware,0,2,0,2
Bastrop,Precinct 4022,President,,,Write-in,0,6,1,7
Bastrop,Precinct 4023,President,,REP,Donald J. Trump/JD Vance,15,480,219,714
Bastrop,Precinct 4023,President,,DEM,Kamala D. Harris/Tim Walz,21,198,92,311
Bastrop,Precinct 4023,President,,LIB,Chase Oliver/Mike ter Maat,0,4,1,5
Bastrop,Precinct 4023,President,,GRN,Jill Stein/Rudolph Ware,0,3,2,5
Bastrop,Precinct 4023,President,,,Write-in,0,1,0,1
Bastrop,Precinct 4024,President,,REP,Donald J. Trump/JD Vance,13,564,127,704
Bastrop,Precinct 4024,President,,DEM,Kamala D. Harris/Tim Walz,14,358,105,477
Bastrop,Precinct 4024,President,,LIB,Chase Oliver/Mike ter Maat,0,11,5,16
Bastrop,Precinct 4024,President,,GRN,Jill Stein/Rudolph Ware,0,3,0,3
Bastrop,Precinct 4024,President,,,Write-in,0,4,0,4
Bastrop,Precinct 4025,President,,REP,Donald J. Trump/JD Vance,16,400,100,516
Bastrop,Precinct 4025,President,,DEM,Kamala D. Harris/Tim Walz,33,621,180,834
Bastrop,Precinct 4025,President,,LIB,Chase Oliver/Mike ter Maat,1,5,5,11
Bastrop,Precinct 4025,President,,GRN,Jill Stein/Rudolph Ware,0,4,4,8
Bastrop,Precinct 4025,President,,,Write-in,1,5,1,7
Bastrop,Precinct 4026,President,,REP,Donald J. Trump/JD Vance,6,536,139,681
Bastrop,Precinct 4026,President,,DEM,Kamala D. Harris/Tim Walz,23,721,167,911
Bastrop,Precinct 4026,President,,LIB,Chase Oliver/Mike ter Maat,0,13,8,21
Bastrop,Precinct 4026,President,,GRN,Jill Stein/Rudolph Ware,0,9,4,13
Bastrop,Precinct 4026,President,,,Write-in,0,1,4,5
Bastrop,Precinct 1001,U.S. Senate,,REP,Ted Cruz,4,148,40,192
Bastrop,Precinct 1001,U.S. Senate,,DEM,Colin Allred,5,86,6,97
Bastrop,Precinct 1001,U.S. Senate,,LIB,Ted Brown,1,11,0,12
Bastrop,Precinct 1001,U.S. Senate,,,Write-in,0,0,0,0
Bastrop,Precinct 1002,U.S. Senate,,REP,Ted Cruz,12,255,42,309
Bastrop,Precinct 1002,U.S. Senate,,DEM,Colin Allred,16,216,27,259
Bastrop,Precinct 1002,U.S. Senate,,LIB,Ted Brown,0,8,2,10
Bastrop,Precinct 1002,U.S. Senate,,,Write-in,0,0,0,0
Bastrop,Precinct 1003,U.S. Senate,,REP,Ted Cruz,21,1033,207,1261
Bastrop,Precinct 1003,U.S. Senate,,DEM,Colin Allred,36,645,123,804
Bastrop,Precinct 1003,U.S. Senate,,LIB,Ted Brown,3,38,12,53
Bastrop,Precinct 1003,U.S. Senate,,,Write-in,0,1,1,2
Bastrop,Precinct 1004,U.S. Senate,,REP,Ted Cruz,21,550,92,663
Bastrop,Precinct 1004,U.S. Senate,,DEM,Colin Allred,55,649,115,819
Bastrop,Precinct 1004,U.S. Senate,,LIB,Ted Brown,2,23,16,41
Bastrop,Precinct 1004,U.S. Senate,,,Write-in,0,2,0,2
Bastrop,Precinct 1005,U.S. Senate,,REP,Ted Cruz,18,389,73,480
Bastrop,Precinct 1005,U.S. Senate,,DEM,Colin Allred,32,246,42,320
Bastrop,Precinct 1005,U.S. Senate,,LIB,Ted Brown,3,17,7,27
Bastrop,Precinct 1005,U.S. Senate,,,Write-in,0,0,1,1
Bastrop,Precinct 1006,U.S. Senate,,REP,Ted Cruz,26,535,212,773
Bastrop,Precinct 1006,U.S. Senate,,DEM,Colin Allred,35,437,170,642
Bastrop,Precinct 1006,U.S. Senate,,LIB,Ted Brown,0,35,25,60
Bastrop,Precinct 1006,U.S. Senate,,,Write-in,0,0,0,0
Bastrop,Precinct 1007,U.S. Senate,,REP,Ted Cruz,33,1158,223,1414
Bastrop,Precinct 1007,U.S. Senate,,DEM,Colin Allred,45,845,144,1034
Bastrop,Precinct 1007,U.S. Senate,,LIB,Ted Brown,0,57,17,74
Bastrop,Precinct 1007,U.S. Senate,,,Write-in,0,0,1,1
Bastrop,Precinct 1008,U.S. Senate,,REP,Ted Cruz,18,527,100,645
Bastrop,Precinct 1008,U.S. Senate,,DEM,Colin Allred,35,481,82,598
Bastrop,Precinct 1008,U.S. Senate,,LIB,Ted Brown,1,27,7,35
Bastrop,Precinct 1008,U.S. Senate,,,Write-in,0,0,0,0
Bastrop,Precinct 1009,U.S. Senate,,REP,Ted Cruz,16,531,142,689
Bastrop,Precinct 1009,U.S. Senate,,DEM,Colin Allred,20,464,127,611
Bastrop,Precinct 1009,U.S. Senate,,LIB,Ted Brown,3,30,20,53
Bastrop,Precinct 1009,U.S. Senate,,,Write-in,0,2,1,3
Bastrop,Precinct 2010,U.S. Senate,,REP,Ted Cruz,9,185,32,226
Bastrop,Precinct 2010,U.S. Senate,,DEM,Colin Allred,7,141,30,178
Bastrop,Precinct 2010,U.S. Senate,,LIB,Ted Brown,0,4,3,7
Bastrop,Precinct 2010,U.S. Senate,,,Write-in,0,0,2,2
Bastrop,Precinct 2011,U.S. Senate,,REP,Ted Cruz,23,793,200,1016
Bastrop,Precinct 2011,U.S. Senate,,DEM,Colin Allred,32,693,149,874
Bastrop,Precinct 2011,U.S. Senate,,LIB,Ted Brown,0,25,20,45
Bastrop,Precinct 2011,U.S. Senate,,,Write-in,0,2,0,2
Bastrop,Precinct 2012,U.S. Senate,,REP,Ted Cruz,23,735,109,867
Bastrop,Precinct 2012,U.S. Senate,,DEM,Colin Allred,26,341,66,433
Bastrop,Precinct 2012,U.S. Senate,,LIB,Ted Brown,1,17,11,29
Bastrop,Precinct 2012,U.S. Senate,,,Write-in,0,1,0,1
Bastrop,Precinct 2013,U.S. Senate,,REP,Ted Cruz,35,1057,242,1334
Bastrop,Precinct 2013,U.S. Senate,,DEM,Colin Allred,49,636,141,826
Bastrop,Precinct 2013,U.S. Senate,,LIB,Ted Brown,1,39,16,56
Bastrop,Precinct 2013,U.S. Senate,,,Write-in,0,1,0,1
Bastrop,Precinct 2014,U.S. Senate,,REP,Ted Cruz,37,1084,321,1442
Bastrop,Precinct 2014,U.S. Senate,,DEM,Colin Allred,44,527,136,707
Bastrop,Precinct 2014,U.S. Senate,,LIB,Ted Brown,1,36,31,68
Bastrop,Precinct 2014,U.S. Senate,,,Write-in,2,0,1,3
Bastrop,Precinct 2015,U.S. Senate,,REP,Ted Cruz,31,1087,191,1309
Bastrop,Precinct 2015,U.S. Senate,,DEM,Colin Allred,45,625,154,824
Bastrop,Precinct 2015,U.S. Senate,,LIB,Ted Brown,2,40,16,58
Bastrop,Precinct 2015,U.S. Senate,,,Write-in,0,0,0,0
Bastrop,Precinct 2016,U.S. Senate,,REP,Ted Cruz,17,1243,270,1530
Bastrop,Precinct 2016,U.S. Senate,,DEM,Colin Allred,32,386,111,529
Bastrop,Precinct 2016,U.S. Senate,,LIB,Ted Brown,1,41,16,58
Bastrop,Precinct 2016,U.S. Senate,,,Write-in,0,0,0,0
Bastrop,Precinct 3017,U.S. Senate,,REP,Ted Cruz,36,899,186,1121
Bastrop,Precinct 3017,U.S. Senate,,DEM,Colin Allred,44,549,138,731
Bastrop,Precinct 3017,U.S. Senate,,LIB,Ted Brown,4,31,21,56
Bastrop,Precinct 3017,U.S. Senate,,,Write-in,0,1,0,1
Bastrop,Precinct 3018,U.S. Senate,,REP,Ted Cruz,13,561,246,820
Bastrop,Precinct 3018,U.S. Senate,,DEM,Colin Allred,21,240,95,356
Bastrop,Precinct 3018,U.S. Senate,,LIB,Ted Brown,0,14,19,33
Bastrop,Precinct 3018,U.S. Senate,,,Write-in,0,0,0,0
Bastrop,Precinct 3019,U.S. Senate,,REP,Ted Cruz,9,607,139,755
Bastrop,Precinct 3019,U.S. Senate,,DEM,Colin Allred,30,522,150,702
Bastrop,Precinct 3019,U.S. Senate,,LIB,Ted Brown,1,34,20,55
Bastrop,Precinct 3019,U.S. Senate,,,Write-in,0,2,2,4
Bastrop,Precinct 3020,U.S. Senate,,REP,Ted Cruz,16,524,155,695
Bastrop,Precinct 3020,U.S. Senate,,DEM,Colin Allred,36,735,234,1005
Bastrop,Precinct 3020,U.S. Senate,,LIB,Ted Brown,1,43,26,70
Bastrop,Precinct 3020,U.S. Senate,,,Write-in,0,1,0,1
Bastrop,Precinct 4021,U.S. Senate,,REP,Ted Cruz,28,715,196,939
Bastrop,Precinct 4021,U.S. Senate,,DEM,Colin Allred,38,581,161,780
Bastrop,Precinct 4021,U.S. Senate,,LIB,Ted Brown,1,31,13,45
Bastrop,Precinct 4021,U.S. Senate,,,Write-in,0,1,3,4
Bastrop,Precinct 4022,U.S. Senate,,REP,Ted Cruz,17,788,120,925
Bastrop,Precinct 4022,U.S. Senate,,DEM,Colin Allred,32,552,143,727
Bastrop,Precinct 4022,U.S. Senate,,LIB,Ted Brown,2,19,24,45
Bastrop,Precinct 4022,U.S. Senate,,,Write-in,0,1,1,2
Bastrop,Precinct 4023,U.S. Senate,,REP,Ted Cruz,10,462,200,672
Bastrop,Precinct 4023,U.S. Senate,,DEM,Colin Allred,20,204,97,321
Bastrop,Precinct 4023,U.S. Senate,,LIB,Ted Brown,5,13,15,33
Bastrop,Precinct 4023,U.S. Senate,,,Write-in,0,0,0,0
Bastrop,Precinct 4024,U.S. Senate,,REP,Ted Cruz,12,526,116,654
Bastrop,Precinct 4024,U.S. Senate,,DEM,Colin Allred,13,379,106,498
Bastrop,Precinct 4024,U.S. Senate,,LIB,Ted Brown,3,28,10,41
Bastrop,Precinct 4024,U.S. Senate,,,Write-in,0,0,0,0
Bastrop,Precinct 4025,U.S. Senate,,REP,Ted Cruz,17,372,86,475
Bastrop,Precinct 4025,U.S. Senate,,DEM,Colin Allred,34,631,179,844
Bastrop,Precinct 4025,U.S. Senate,,LIB,Ted Brown,0,19,17,36
Bastrop,Precinct 4025,U.S. Senate,,,Write-in,0,3,0,3
Bastrop,Precinct 4026,U.S. Senate,,REP,Ted Cruz,7,507,115,629
Bastrop,Precinct 4026,U.S. Senate,,DEM,Colin Allred,21,727,178,926
Bastrop,Precinct 4026,U.S. Senate,,LIB,Ted Brown,0,36,20,56
Bastrop,Precinct 4026,U.S. Senate,,,Write-in,0,0,3,3
Bastrop,Precinct 1003,U.S. House,10,REP,Michael T. McCaul,22,1060,218,1300
Bastrop,Precinct 1003,U.S. House,10,DEM,Theresa Boisseau,36,592,100,728
Bastrop,Precinct 1003,U.S. House,10,LIB,Jeff Miller,0,33,12,45
Bastrop,Precinct 1004,U.S. House,10,REP,Michael T. McCaul,28,599,102,729
Bastrop,Precinct 1004,U.S. House,10,DEM,Theresa Boisseau,49,572,93,714
Bastrop,Precinct 1004,U.S. House,10,LIB,Jeff Miller,0,30,17,47
Bastrop,Precinct 1006,U.S. House,10,REP,Michael T. McCaul,29,544,223,796
Bastrop,Precinct 1006,U.S. House,10,DEM,Theresa Boisseau,30,404,144,578
Bastrop,Precinct 1006,U.S. House,10,LIB,Jeff Miller,0,25,23,48
Bastrop,Precinct 2010,U.S. House,10,REP,Michael T. McCaul,10,187,34,231
Bastrop,Precinct 2010,U.S. House,10,DEM,Theresa Boisseau,6,131,28,165
Bastrop,Precinct 2010,U.S. House,10,LIB,Jeff Miller,0,5,2,7
Bastrop,Precinct 2013,U.S. House,10,REP,Michael T. McCaul,40,1087,254,1381
Bastrop,Precinct 2013,U.S. House,10,DEM,Theresa Boisseau,45,570,118,733
Bastrop,Precinct 2013,U.S. House,10,LIB,Jeff Miller,0,45,11,56
Bastrop,Precinct 2014,U.S. House,10,REP,Michael T. McCaul,36,1105,339,1480
Bastrop,Precinct 2014,U.S. House,10,DEM,Theresa Boisseau,47,486,113,646
Bastrop,Precinct 2014,U.S. House,10,LIB,Jeff Miller,0,34,21,55
Bastrop,Precinct 2015,U.S. House,10,REP,Michael T. McCaul,33,1135,199,1367
Bastrop,Precinct 2015,U.S. House,10,DEM,Theresa Boisseau,44,565,137,746
Bastrop,Precinct 2015,U.S. House,10,LIB,Jeff Miller,0,26,13,39
Bastrop,Precinct 4021,U.S. House,10,REP,Michael T. McCaul,30,742,205,977
Bastrop,Precinct 4021,U.S. House,10,DEM,Theresa Boisseau,35,528,143,706
Bastrop,Precinct 4021,U.S. House,10,LIB,Jeff Miller,0,38,14,52
Bastrop,Precinct 4022,U.S. House,10,REP,Michael T. McCaul,21,814,140,975
Bastrop,Precinct 4022,U.S. House,10,DEM,Theresa Boisseau,29,497,132,658
Bastrop,Precinct 4022,U.S. House,10,LIB,Jeff Miller,0,22,12,34
Bastrop,Precinct 4023,U.S. House,10,REP,Michael T. McCaul,17,468,201,686
Bastrop,Precinct 4023,U.S. House,10,DEM,Theresa Boisseau,16,183,86,285
Bastrop,Precinct 4023,U.S. House,10,LIB,Jeff Miller,2,19,14,35
Bastrop,Precinct 4024,U.S. House,10,REP,Michael T. McCaul,11,555,122,688
Bastrop,Precinct 4024,U.S. House,10,DEM,Theresa Boisseau,13,327,95,435
Bastrop,Precinct 4024,U.S. House,10,LIB,Jeff Miller,3,24,8,35
Bastrop,Precinct 4025,U.S. House,10,REP,Michael T. McCaul,17,378,83,478
Bastrop,Precinct 4025,U.S. House,10,DEM,Theresa Boisseau,31,596,173,800
Bastrop,Precinct 4025,U.S. House,10,LIB,Jeff Miller,1,31,13,45
Bastrop,Precinct 4026,U.S. House,10,REP,Michael T. McCaul,7,529,136,672
Bastrop,Precinct 4026,U.S. House,10,DEM,Theresa Boisseau,21,681,158,860
Bastrop,Precinct 4026,U.S. House,10,LIB,Jeff Miller,0,49,11,60
Bastrop,Precinct 1001,U.S. House,27,REP,Michael Cloud,5,160,38,203
Bastrop,Precinct 1001,U.S. House,27,DEM,Tanya Lloyd,5,78,6,89
Bastrop,Precinct 1002,U.S. House,27,REP,Michael Cloud,11,276,48,335
Bastrop,Precinct 1002,U.S. House,27,DEM,Tanya Lloyd,16,199,19,234
Bastrop,Precinct 1005,U.S. House,27,REP,Michael Cloud,17,412,81,510
Bastrop,Precinct 1005,U.S. House,27,DEM,Tanya Lloyd,33,221,37,291
Bastrop,Precinct 1007,U.S. House,27,REP,Michael Cloud,35,1206,247,1488
Bastrop,Precinct 1007,U.S. House,27,DEM,Tanya Lloyd,43,796,123,962
Bastrop,Precinct 1008,U.S. House,27,REP,Michael Cloud,18,538,108,664
Bastrop,Precinct 1008,U.S. House,27,DEM,Tanya Lloyd,36,477,73,586
Bastrop,Precinct 1009,U.S. House,27,REP,Michael Cloud,18,558,159,735
Bastrop,Precinct 1009,U.S. House,27,DEM,Tanya Lloyd,21,441,119,581
Bastrop,Precinct 2011,U.S. House,27,REP,Michael Cloud,25,821,208,1054
Bastrop,Precinct 2011,U.S. House,27,DEM,Tanya Lloyd,30,623,145,798
Bastrop,Precinct 2012,U.S. House,27,REP,Michael Cloud,25,769,117,911
Bastrop,Precinct 2012,U.S. House,27,DEM,Tanya Lloyd,24,300,61,385
Bastrop,Precinct 2016,U.S. House,27,REP,Michael Cloud,19,1275,278,1572
Bastrop,Precinct 2016,U.S. House,27,DEM,Tanya Lloyd,31,354,105,490
Bastrop,Precinct 3017,U.S. House,27,REP,Michael Cloud,38,930,207,1175
