county,precinct,office,district,candidate,party,absentee,early_voting,election_day,votes
Jim Wells,1,Ballots Cast,,,,,,,225
Jim Wells,1,President,,Donald J. Trump,REP,0,51,30,81
Jim Wells,1,President,,Kamala D. Harris,DEM,9,95,33,137
Jim Wells,1,President,,Chase Oliver,LIB,0,0,1,1
Jim Wells,1,President,,Jill Stein,GRN,0,0,1,1
Jim Wells,1,President,,Under Votes,,0,0,0,0
Jim Wells,1,President,,Over Votes,,0,3,2,5
Jim Wells,1,U.S. Senate,,Ted Cruz,REP,0,42,26,68
Jim Wells,1,U.S. Senate,,Colin Allred,DEM,7,96,35,138
Jim Wells,1,U.S. Senate,,Ted Brown,LIB,1,6,3,10
Jim Wells,1,U.S. Senate,,Under Votes,,1,4,3,8
Jim Wells,1,U.S. Senate,,Over Votes,,0,1,0,1
Jim Wells,1,U.S. House,15,Monica De La Cruz,REP,0,49,29,78
Jim Wells,1,U.S. House,15,Michelle Vallejo,DEM,8,92,37,137
Jim Wells,1,U.S. House,15,Under Votes,,1,8,1,10
Jim Wells,1,U.S. House,15,Over Votes,,0,0,0,0
Jim Wells,1,Railroad Commissioner,,Christi Craddick,REP,0,39,23,62
Jim Wells,1,Railroad Commissioner,,Katherine Culbert,DEM,7,88,37,132
Jim Wells,1,Railroad Commissioner,,Hawk Dunlap,LIB,0,1,1,2
Jim Wells,1,Railroad Commissioner,,Eddie Espinoza,GRN,1,12,3,16
Jim Wells,1,Railroad Commissioner,,Under Votes,,1,8,2,11
Jim Wells,1,Railroad Commissioner,,Over Votes,,0,1,1,2
Jim Wells,1,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,0,50,27,77
Jim Wells,1,"Justice, Supreme Court, Place 2",,DaSean Jones,DEM,8,90,36,134
Jim Wells,1,"Justice, Supreme Court, Place 2",,Under Votes,,1,9,4,14
Jim Wells,1,"Justice, Supreme Court, Place 2",,Over Votes,,0,0,0,0
Jim Wells,1,"Justice, Supreme Court, Place 4",,John Devine,REP,0,45,26,71
