county,precinct,office,district,party,candidate,votes,absentee,early_votes,election_day,limited,provisional
Montague,2,Ballots Cast,,,,2086,,,,,
Montague,3,Ballots Cast,,,,1100,,,,,
Montague,4,Ballots Cast,,,,462,,,,,
Montague,5,Ballots Cast,,,,793,,,,,
Montague,6,Ballots Cast,,,,708,,,,,
Montague,7,Ballots Cast,,,,892,,,,,
Montague,8,Ballots Cast,,,,703,,,,,
Montague,9,Ballots Cast,,,,1013,,,,,
Montague,10,Ballots Cast,,,,829,,,,,
Montague,11,Ballots Cast,,,,743,,,,,
Montague,12,Ballots Cast,,,,106,,,,,
Montague,13,Ballots Cast,,,,785,,,,,
Montague,14,Ballots Cast,,,,210,,,,,
Montague,15,Ballots Cast,,,,452,,,,,
Montague,16,Ballots Cast,,,,249,,,,,
Montague,2,Board of Trustees,1 Bowie ISD,,Brian S. Rhodes,549,14,460,75,0,0
Montague,3,Board of Trustees,1 Bowie ISD,,Brian S. Rhodes,364,7,305,52,0,0
Montague,4,Board of Trustees,1 Bowie ISD,,Brian S. Rhodes,163,1,123,39,0,0
Montague,5,Board of Trustees,1 Bowie ISD,,Brian S. Rhodes,265,2,219,44,0,0
Montague,6,Board of Trustees,1 Bowie ISD,,Brian S. Rhodes,227,9,186,32,0,0
Montague,7,Board of Trustees,1 Bowie ISD,,Brian S. Rhodes,12,0,12,0,0,0
Montague,8,Board of Trustees,1 Bowie ISD,,Brian S. Rhodes,198,4,121,73,0,0
Montague,15,Board of Trustees,1 Bowie ISD,,Brian S. Rhodes,11,1,9,1,0,0
Montague,16,Board of Trustees,1 Bowie ISD,,Brian S. Rhodes,57,0,45,12,0,0
Montague,2,Board of Trustees,1 Bowie ISD,,Jacky Betts,896,28,740,128,0,0
Montague,3,Board of Trustees,1 Bowie ISD,,Jacky Betts,523,6,412,105,0,0
Montague,4,Board of Trustees,1 Bowie ISD,,Jacky Betts,208,8,159,41,0,0
Montague,5,Board of Trustees,1 Bowie ISD,,Jacky Betts,375,7,304,64,0,0
Montague,6,Board of Trustees,1 Bowie ISD,,Jacky Betts,348,8,293,47,0,0
Montague,7,Board of Trustees,1 Bowie ISD,,Jacky Betts,6,0,6,0,0,0
Montague,8,Board of Trustees,1 Bowie ISD,,Jacky Betts,275,4,178,93,0,0
Montague,15,Board of Trustees,1 Bowie ISD,,Jacky Betts,26,0,23,3,0,0
Montague,16,Board of Trustees,1 Bowie ISD,,Jacky Betts,104,1,89,14,0,0
Montague,9,Board of Trustees,1 Nocona ISD,,Chico Cabrera,345,4,288,53,0,0
Montague,10,Board of Trustees,1 Nocona ISD,,Chico Cabrera,392,7,325,60,0,0
Montague,11,Board of Trustees,1 Nocona ISD,,Chico Cabrera,376,5,299,72,0,0
Montague,13,Board of Trustees,1 Nocona ISD,,Chico Cabrera,30,1,28,1,0,0
Montague,14,Board of Trustees,1 Nocona ISD,,Chico Cabrera,50,0,43,7,0,0
Montague,15,Board of Trustees,1 Nocona ISD,,Chico Cabrera,8,1,7,0,0,0
Montague,9,Board of Trustees,1 Nocona ISD,,Kyle LaMar,246,6,203,37,0,0
Montague,10,Board of Trustees,1 Nocona ISD,,Kyle LaMar,286,7,227,52,0,0
Montague,11,Board of Trustees,1 Nocona ISD,,Kyle LaMar,295,9,241,45,0,0
Montague,13,Board of Trustees,1 Nocona ISD,,Kyle LaMar,19,2,15,2,0,0
Montague,14,Board of Trustees,1 Nocona ISD,,Kyle LaMar,52,0,35,17,0,0
Montague,15,Board of Trustees,1 Nocona ISD,,Kyle LaMar,7,0,6,1,0,0
Montague,2,Board of Trustees,2 Bowie ISD,,Angie Christmas,591,19,486,86,0,0
Montague,3,Board of Trustees,2 Bowie ISD,,Angie Christmas,377,4,294,79,0,0
Montague,4,Board of Trustees,2 Bowie ISD,,Angie Christmas,211,6,161,44,0,0
Montague,5,Board of Trustees,2 Bowie ISD,,Angie Christmas,301,2,248,51,0,0
Montague,6,Board of Trustees,2 Bowie ISD,,Angie Christmas,264,2,219,43,0,0
Montague,7,Board of Trustees,2 Bowie ISD,,Angie Christmas,13,0,11,2,0,0
Montague,8,Board of Trustees,2 Bowie ISD,,Angie Christmas,229,5,140,84,0,0
Montague,15,Board of Trustees,2 Bowie ISD,,Angie Christmas,19,0,17,2,0,0
Montague,16,Board of Trustees,2 Bowie ISD,,Angie Christmas,65,0,51,14,0,0
Montague,2,Board of Trustees,2 Bowie ISD,,Chase Thomas,604,14,506,84,0,0
