county,precinct,office,district,party,candidate,votes
Reeves,Box 11,Registered Voters,,,,904
Reeves,Box 11,Ballots Cast,,,,367
Reeves,Box 11,President,,REP,Donald J. Trump,203
Reeves,Box 11,President,,DEM,Kamala D. Harris,155
Reeves,Box 11,President,,LIB,Chase Oliver,1
Reeves,Box 11,President,,GRN,Jill Stein,0
Reeves,Box 11,President,,,Write-ins,1
Reeves,Box 11,President,,,Over Votes,1
Reeves,Box 11,President,,,Under Votes,6
Reeves,Box 11,U.S. Senate,,REP,Ted Cruz,170
Reeves,Box 11,U.S. Senate,,DEM,Colin Allred,151
Reeves,Box 11,U.S. Senate,,LIB,Ted Brown,16
Reeves,Box 11,U.S. Senate,,,Write-ins,0
Reeves,Box 11,U.S. Senate,,,Over Votes,1
Reeves,Box 11,U.S. Senate,,,Under Votes,29
Reeves,Box 11,U.S. House,23,REP,Tony Gonzales,203
Reeves,Box 11,U.S. House,23,DEM,S. Limon,122
Reeves,Box 11,U.S. House,23,,Over Votes,0
Reeves,Box 11,U.S. House,23,,Under Votes,42
Reeves,Box 11,Railroad Commissioner,,REP,Christi Craddick,140
Reeves,Box 11,Railroad Commissioner,,DEM,Katherine Culbert,137
Reeves,Box 11,Railroad Commissioner,,LIB,Hawk Dunlap,11
Reeves,Box 11,Railroad Commissioner,,GRN,Eddie Espinoza,21
Reeves,Box 11,Railroad Commissioner,,,Write-ins,0
Reeves,Box 11,Railroad Commissioner,,,Over Votes,0
Reeves,Box 11,Railroad Commissioner,,,Under Votes,58
Reeves,Box 11,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,157
Reeves,Box 11,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,146
Reeves,Box 11,"Justice, Supreme Court, Pl 2",,,Over Votes,0
Reeves,Box 11,"Justice, Supreme Court, Pl 2",,,Under Votes,64
Reeves,Box 11,"Justice, Supreme Court, Pl 4",,REP,John Devine,153
Reeves,Box 11,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,147
Reeves,Box 11,"Justice, Supreme Court, Pl 4",,,Over Votes,0
Reeves,Box 11,"Justice, Supreme Court, Pl 4",,,Under Votes,67
Reeves,Box 11,"Justice, Supreme Court, PI 6",,REP,Jane Bland,148
Reeves,Box 11,"Justice, Supreme Court, PI 6",,DEM,Bonnie Lee Goldstein,141
Reeves,Box 11,"Justice, Supreme Court, PI 6",,LIB,J. David Roberson,11
Reeves,Box 11,"Justice, Supreme Court, PI 6",,,Over Votes,0
Reeves,Box 11,"Justice, Supreme Court, PI 6",,,Under Votes,67
Reeves,Box 11,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,153
Reeves,Box 11,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,146
Reeves,Box 11,"Presiding Judge, Ct of Crim App",,,Over Votes,0
Reeves,Box 11,"Presiding Judge, Ct of Crim App",,,Under Votes,68
Reeves,Box 11,"Judge, Ct of Crim App, PI 7",,REP,Gina Parker,159
Reeves,Box 11,"Judge, Ct of Crim App, PI 7",,DEM,Nancy Mulder,137
Reeves,Box 11,"Judge, Ct of Crim App, PI 7",,,Over Votes,0
Reeves,Box 11,"Judge, Ct of Crim App, PI 7",,,Under Votes,71
Reeves,Box 11,"Judge, Ct of Crim App, PI 8",,REP,Lee Finley,154
Reeves,Box 11,"Judge, Ct of Crim App, PI 8",,DEM,Chika Anyiam,144
Reeves,Box 11,"Judge, Ct of Crim App, PI 8",,,Over Votes,0
Reeves,Box 11,"Judge, Ct of Crim App, PI 8",,,Under Votes,69
Reeves,Box 11,"Member, State BoE, Dist 1",,REP,Michael (Travis) Stevens,144
Reeves,Box 11,"Member, State BoE, Dist 1",,DEM,Gustavo Reveles,156
Reeves,Box 11,"Member, State BoE, Dist 1",,,Over Votes,0
Reeves,Box 11,"Member, State BoE, Dist 1",,,Under Votes,67
Reeves,Box 11,State Senate,29,DEM,Cesar J. Blanco,202
Reeves,Box 11,State Senate,29,,Over Votes,0
Reeves,Box 11,State Senate,29,,Under Votes,165
Reeves,Box 11,State House,74,REP,Robert Garza,141
Reeves,Box 11,State House,74,DEM,Eddie Morales Jr.,158
Reeves,Box 11,State House,74,,Over Votes,0
Reeves,Box 11,State House,74,,Under Votes,68
Reeves,Box 11,"Chief Justice, 8th Ct of App Dist - Unexpired Term",,DEM,Maria Salas Mendoza,199
Reeves,Box 11,"Chief Justice, 8th Ct of App Dist - Unexpired Term",,,Over Votes,0
Reeves,Box 11,"Chief Justice, 8th Ct of App Dist - Unexpired Term",,,Under Votes,168
Reeves,Box 11,"Justice, 8th Ct of App Dist, Pl 2",,DEM,Lisa Soto,199
Reeves,Box 11,"Justice, 8th Ct of App Dist, Pl 2",,,Over Votes,0
Reeves,Box 11,"Justice, 8th Ct of App Dist, Pl 2",,,Under Votes,168
Reeves,Box 11,"Justice, 8th Ct of App Dist, PI 3",,DEM,Gina M. Palafox,190
Reeves,Box 11,"Justice, 8th Ct of App Dist, PI 3",,,Over Votes,0
Reeves,Box 11,"Justice, 8th Ct of App Dist, PI 3",,,Under Votes,177
Reeves,Box 11,"Dist Judge, 143rd Judicial Dist",,REP,Alan J. Nicholas,175
Reeves,Box 11,"Dist Judge, 143rd Judicial Dist",,,Over Votes,0
Reeves,Box 11,"Dist Judge, 143rd Judicial Dist",,,Under Votes,192
Reeves,Box 11,"Dist Attorney, 143rd Judicial Dist",,REP,Sarah Stogner,116
Reeves,Box 11,"Dist Attorney, 143rd Judicial Dist",,DEM,Randy Reynolds,185
Reeves,Box 11,"Dist Attorney, 143rd Judicial Dist",,,Over Votes,2
Reeves,Box 11,"Dist Attorney, 143rd Judicial Dist",,,Under Votes,64
Reeves,Box 11,County Attorney,,DEM,Alva Alvarez,219
Reeves,Box 11,County Attorney,,,Over Votes,0
Reeves,Box 11,County Attorney,,,Under Votes,148
Reeves,Box 11,Sheriff,,DEM,"Arturo ""Art"" Granado",227
Reeves,Box 11,Sheriff,,,Over Votes,0
Reeves,Box 11,Sheriff,,,Under Votes,140
