county,precinct,office,district,party,candidate,votes,absentee,early,election
Comal,101,Ballots Cast,,,,2712,,,
Comal,101 - FED,Ballots Cast,,,,4,,,
Comal,101 - NB4,Ballots Cast,,,,283,,,
Comal,102,Ballots Cast,,,,3807,,,
Comal,102 - FED,Ballots Cast,,,,8,,,
Comal,103,Ballots Cast,,,,4583,,,
Comal,103 - FED,Ballots Cast,,,,2,,,
Comal,104,Ballots Cast,,,,1695,,,
Comal,104 - FED,Ballots Cast,,,,3,,,
Comal,105,Ballots Cast,,,,3162,,,
Comal,105 - FED,Ballots Cast,,,,3,,,
Comal,106,Ballots Cast,,,,3009,,,
Comal,106 - FED,Ballots Cast,,,,2,,,
Comal,107,Ballots Cast,,,,3955,,,
Comal,107 - FED,Ballots Cast,,,,4,,,
Comal,108,Ballots Cast,,,,1671,,,
Comal,109,Ballots Cast,,,,3131,,,
Comal,109 - FED,Ballots Cast,,,,2,,,
Comal,110,Ballots Cast,,,,2181,,,
Comal,110 - FED,Ballots Cast,,,,3,,,
Comal,201,Ballots Cast,,,,2429,,,
Comal,201 - NB4,Ballots Cast,,,,1049,,,
Comal,202,Ballots Cast,,,,1020,,,
Comal,202 - FED,Ballots Cast,,,,2,,,
Comal,202 - CSCH,Ballots Cast,,,,650,,,
Comal,203,Ballots Cast,,,,4007,,,
Comal,203 - FED,Ballots Cast,,,,5,,,
Comal,204,Ballots Cast,,,,4099,,,
Comal,204 - FED,Ballots Cast,,,,2,,,
Comal,205,Ballots Cast,,,,4160,,,
Comal,205 - FED,Ballots Cast,,,,3,,,
Comal,205 - CSCH,Ballots Cast,,,,9,,,
Comal,206,Ballots Cast,,,,5170,,,
Comal,207,Ballots Cast,,,,2535,,,
Comal,207 - FED,Ballots Cast,,,,3,,,
Comal,208,Ballots Cast,,,,3963,,,
Comal,208 - FED,Ballots Cast,,,,6,,,
Comal,301,Ballots Cast,,,,1459,,,
Comal,301 - FED,Ballots Cast,,,,1,,,
Comal,301 - NB4,Ballots Cast,,,,1313,,,
Comal,302,Ballots Cast,,,,1217,,,
Comal,302 - FED,Ballots Cast,,,,2,,,
Comal,302 - NB4,Ballots Cast,,,,411,,,
Comal,303,Ballots Cast,,,,611,,,
Comal,303 - FED,Ballots Cast,,,,3,,,
Comal,304,Ballots Cast,,,,2486,,,
Comal,304 - FED,Ballots Cast,,,,1,,,
Comal,305,Ballots Cast,,,,3505,,,
Comal,305 - FED,Ballots Cast,,,,4,,,
Comal,305 - CCWSC,Ballots Cast,,,,191,,,
Comal,306,Ballots Cast,,,,2576,,,
Comal,306 - FED,Ballots Cast,,,,2,,,
Comal,306 - CCWSC,Ballots Cast,,,,267,,,
Comal,307,Ballots Cast,,,,902,,,
Comal,308,Ballots Cast,,,,930,,,
Comal,308 - FED,Ballots Cast,,,,1,,,
Comal,308 - NB4,Ballots Cast,,,,913,,,
Comal,401,Ballots Cast,,,,2512,,,
Comal,401 - FED,Ballots Cast,,,,5,,,
Comal,402,Ballots Cast,,,,3521,,,
Comal,402 - FED,Ballots Cast,,,,3,,,
Comal,403,Ballots Cast,,,,3958,,,
Comal,403 - FED,Ballots Cast,,,,13,,,
Comal,404,Ballots Cast,,,,2974,,,
Comal,404 - FED,Ballots Cast,,,,4,,,
Comal,404 - FWM,Ballots Cast,,,,1,,,
Comal,404 - CCWSC,Ballots Cast,,,,1105,,,
Comal,405,Ballots Cast,,,,3474,,,
Comal,405 - FED,Ballots Cast,,,,2,,,
Comal,406,Ballots Cast,,,,3265,,,
