,party
REP Donald J. Trump/Michael R. Pence,REP
DEM Joseph R. Biden/Kamala D. Harris,DEM
"LIB Jo Jorgensen/Jeremy ""Spike"" Cohen",LIB
GRN Howie Hawkins/Angela Walker,GREEN
Write-in,NA
REP John Cornyn,REP
"DEM Mary ""MJ"" Hegar",DEM
LIB Kerry Douglas McKennon,LIB
GRN David B. Collins,GREEN
REP John Carter,REP
DEM Donna Imam,DEM
LIB Clark Patterson,LIB
"REP James ""Jim"" Wright",REP
DEM Chrysta CastaÃ±eda,DEM
LIB Matt Sterett,LIB
"GRN Katija ""Kat"" Gruene",GREEN
REP Nathan Hecht,REP
DEM Amy Clark Meachum,DEM
LIB Mark Ash,LIB
REP Jane Bland,REP
DEM Kathy Cheng,DEM
REP Jeff Boyd,REP
DEM Staci Williams,DEM
LIB William Bryan Strange III,LIB
REP Brett Busby,REP
DEM Gisela D. Triana,DEM
LIB Tom Oxford,LIB
REP Bert Richardson,REP
DEM Elizabeth Davis Frizell,DEM
REP Kevin Patrick Yeary,REP
DEM Tina Clinton,DEM
REP David Newell,REP
DEM Brandon Birmingham,DEM
REP Tom Maynard,REP
DEM Marsha Burnett-Webster,DEM
LIB Trip Seibold,LIB
REP Terry M. Wilson,REP
DEM Jessica Tiedt,DEM
REP Lucio Valdez,REP
DEM James Talarico,DEM
REP Mike Guevara,REP
DEM John H. Bucy III,DEM
LIB Brian Elliott,LIB
REP Jeff Rose,REP
DEM Darlene Byrne,DEM
REP Donna King,REP
DEM Brian McConnell,DEM
REP Ryan Larson,REP
DEM Lucio Del Toro,DEM
REP Betsy F. Lambeth,REP
REP Shawn Dick,REP
REP Dee Hobbs,REP
DEM Stan O. Springerley,DEM
REP Robert Chody,REP
DEM Mike Gleason,DEM
REP Nikki Gonzales,REP
DEM Terry Cook,DEM
REP Valerie Covey,REP
DEM Sharon Cummings,DEM
REP Vinnie Cherrone,REP
DEM Mickey Chance,DEM
REP Jeff Anderson,REP
DEM Robert Tijerina,DEM
REP Paul Leal,REP
DEM Perry Travis,DEM
Suzanne Brown,NA
Mark Kincaid,NA
Tricia Carr,NA
Stephanie Blanck,NA
Francis C. Jackson,NA
David Phillips,NA
Melanie Dunham,NA
Eric Robinson,NA
Christopher Parker,NA
Shara Turner,NA
Matthew Brading,NA
Felix Chavez,NA
Mina Davis,NA
Crystal Phalen,NA
David Jean,NA
Christine Mauer,NA
Chris Remy,NA
"David ""Speedy"" Wise",NA
Anna Smith,NA
Jeff Johnson,NA
Jim MacKay,NA
Bradley Patschke,NA
Scott E. Sanders,NA
Michael Milburn,NA
Shannon Patschke,NA
Terry A. Smith,NA
Clint Stephenson,NA
Antonio CaÃ±as,NA
Dana Munguia,NA
Kendall Carter,NA
Larry D. Bradley,NA
Jean Mayer,NA
Cynthia Gee,NA
Charlie Torres,NA
Jun Xiao,NA
Kim Boen,NA
Lacey Mase,NA
Cornell Woolridge,NA
Mary Bone,NA
Jenn Griffith,NA
Danielle Marie Weston,NA
Russell Winston Collins,NA
Tiffanie Nichole Harrison,NA
David G Schmidt,NA
Christina GÃ¡ndara,NA
Janet Lynn Curtis,NA
Jim Buzan,NA
Daniel Philhower,NA
Shorty Mitchell,NA
Kimberly Biar,NA
Chad Martinka,NA
Lance Weidler,NA
Terrell Weise,NA
"James ""Jimmy"" Flannigan",NA
Mackenzie Kelly,NA
Jennifer Mushtaler,NA
Dee Harrison,NA
For,NA
Against,NA
Chad Mees,NA
Ray Uson,NA
Jesse Luna,NA
Stephanie T. Romero,NA
Vickie S. Cooper,NA
Savoy Joseph Burnett,NA
Kathy Jones,NA
Jim Richardson,NA
Corbin Van Arsdale,NA
Mel Kirkland,NA
Bob Cornelius,NA
Eric Boyce,NA
Jim Penniman-Morin,NA
Dorian Chavez,NA
Heather Jefts,NA
John Roulston-Bates,NA
Barbara K. Piper,NA
Sarah S. Torluemke,NA
Megan N. Cargill,NA
David Merideth Sr.,NA
Mary Condon,NA
Ofelia Bernal,NA
Jesus I. Castillo,NA
Debra Bartos Cahill,NA
