county,precinct,office,district,party,candidate,votes
Lamb,Olton Precinct 1,"Registered Voters - Total",,,,921
Lamb,Olton Precinct 1,"Ballots Cast - Total",,,,485
Lamb,Olton Precinct 1,"Ballots Cast - Blank",,,,0
Lamb,Olton Precinct 1,"President",,REP,"Donald J. Trump",381
Lamb,Olton Precinct 1,"President",,DEM,"Kamala D. Harris",100
Lamb,Olton Precinct 1,"President",,LIB,"Chase Oliver",1
Lamb,Olton Precinct 1,"President",,GRN,"Jill Stein",0
Lamb,Olton Precinct 1,"President",,,"Write-ins",2
Lamb,Olton Precinct 1,"U.S. Senate",,REP,"Ted Cruz",373
Lamb,Olton Precinct 1,"U.S. Senate",,DEM,"Colin Allred",94
Lamb,Olton Precinct 1,"U.S. Senate",,LIB,"Ted Brown",8
Lamb,Olton Precinct 1,"U.S. Senate",,,"Write-ins",1
Lamb,Olton Precinct 1,"U.S. House",19,REP,"Jodey C. Arrington",400
Lamb,Olton Precinct 1,"U.S. House",19,LIB,"Bernard Johnson",48
Lamb,Olton Precinct 1,"U.S. House",19,IND,"Nathan Lewis",15
Lamb,Olton Precinct 1,"Railroad Commissioner",,REP,"Christi Craddick",357
Lamb,Olton Precinct 1,"Railroad Commissioner",,DEM,"Katherine Culbert",77
Lamb,Olton Precinct 1,"Railroad Commissioner",,LIB,"Hawk Dunlap",24
Lamb,Olton Precinct 1,"Railroad Commissioner",,GRN,"Eddie Espinoza",11
Lamb,Olton Precinct 1,"Railroad Commissioner",,,"Write-ins",0
Lamb,Olton Precinct 1,"Justice, Supreme Court, Pl 2",,REP,"Jimmy Blacklock",380
Lamb,Olton Precinct 1,"Justice, Supreme Court, Pl 2",,DEM,"DaSean Jones",83
Lamb,Olton Precinct 1,"Justice, Supreme Court, Pl 4",,REP,"John Devine",378
Lamb,Olton Precinct 1,"Justice, Supreme Court, Pl 4",,DEM,"Christine Vinh Weems",82
Lamb,Olton Precinct 1,"Justice, Supreme Court, Pl 6",,REP,"Jane Bland",368
Lamb,Olton Precinct 1,"Justice, Supreme Court, Pl 6",,DEM,"Bonnie Lee Goldstein",84
Lamb,Olton Precinct 1,"Justice, Supreme Court, Pl 6",,LIB,"J. David Roberson",16
Lamb,Olton Precinct 1,"Presiding Judge, Ct of Crim App",,REP,"David J. Schenck",377
Lamb,Olton Precinct 1,"Presiding Judge, Ct of Crim App",,DEM,"Holly Taylor",85
Lamb,Olton Precinct 1,"Judge, Ct of Crim App, Pl 7",,REP,"Gina Parker",380
Lamb,Olton Precinct 1,"Judge, Ct of Crim App, Pl 7",,DEM,"Nancy Mulder",85
Lamb,Olton Precinct 1,"Judge, Ct of Crim App, Pl 8",,REP,"Lee Finley",387
Lamb,Olton Precinct 1,"Judge, Ct of Crim App, Pl 8",,DEM,"Chika Anyiam",76
Lamb,Olton Precinct 1,"Member, State BoE",15,REP,"Aaron Kinsey",362
Lamb,Olton Precinct 1,"Member, State BoE",15,DEM,"Morgan Kirkpatrick",94
Lamb,Olton Precinct 1,"Member, State BoE",15,LIB,"Jack B. Westbrook",11
Lamb,Olton Precinct 1,"State Representative",88,REP,"Ken King",421
Lamb,Olton Precinct 1,"Justice, 7th Ct of App Dist, Pl 2",,REP,"Judy Parker",422
Lamb,Olton Precinct 1,"Justice, 7th Ct of App Dist, Pl 3",,REP,"Alex Yarbrough",425
Lamb,Olton Precinct 1,"County Attorney",,REP,"Rickie Redman",421
Lamb,Olton Precinct 1,"County Clerk - Unexpired Term",,REP,"Rene Trevino",422
Lamb,Olton Precinct 1,"Sheriff",,REP,"Gary Maddox",434
Lamb,Olton Precinct 1,"County Tax Assessor-Collector",,REP,"Tammy Kirkland",432
Lamb,Olton Precinct 1,"County Commissioner Pct 1",,REP,"Cory Deberry",433
Lamb,Littlefield Precinct 2,"Registered Voters - Total",,,,837
Lamb,Littlefield Precinct 2,"Ballots Cast - Total",,,,275
Lamb,Littlefield Precinct 2,"Ballots Cast - Blank",,,,0
Lamb,Littlefield Precinct 2,"President",,REP,"Donald J. Trump",187
Lamb,Littlefield Precinct 2,"President",,DEM,"Kamala D. Harris",84
Lamb,Littlefield Precinct 2,"President",,LIB,"Chase Oliver",1
Lamb,Littlefield Precinct 2,"President",,GRN,"Jill Stein",0
Lamb,Littlefield Precinct 2,"President",,,"Write-ins",0
Lamb,Littlefield Precinct 2,"U.S. Senate",,REP,"Ted Cruz",176
Lamb,Littlefield Precinct 2,"U.S. Senate",,DEM,"Colin Allred",86
Lamb,Littlefield Precinct 2,"U.S. Senate",,LIB,"Ted Brown",8
Lamb,Littlefield Precinct 2,"U.S. Senate",,,"Write-ins",0
Lamb,Littlefield Precinct 2,"U.S. House",19,REP,"Jodey C. Arrington",197
